nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	Species
OL452069	OL452069_Mivirus_genovaense	OL452069_Mivirus_genovaense	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11050	MAG: Genoa virus isolate K36 RNA-dependent RNA polymerase, glycoprotein, and putative nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452070	OL452070_Mivirus_genovaense	OL452070_Mivirus_genovaense	Ixodes holocyclus	Ixodes	Australia	Australia	2019	11034	MAG: Genoa virus isolate K47 RNA-dependent RNA polymerase, glycoprotein, and putative nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452071	OL452071_Mivirus_genovaense	OL452071_Mivirus_genovaense	Ixodes holocyclus	Ixodes	Australia	Australia	2020	11036	MAG: Genoa virus isolate K73 RNA-dependent RNA polymerase, glycoprotein, and putative nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452073	OL452073_Mivirus_genovaense	OL452073_Mivirus_genovaense	Ixodes holocyclus	Ixodes	Australia	Australia	2019	10967	MAG: Genoa virus isolate K20 RNA-dependent RNA polymerase, glycoprotein, and putative nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452074	OL452074_Mivirus_genovaense	OL452074_Mivirus_genovaense	Ixodes holocyclus	Ixodes	Australia	Australia	2019	10688	MAG: Genoa virus isolate K31 RNA-dependent RNA polymerase, glycoprotein, and putative nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL452075	OL452075_Mivirus_genovaense	OL452075_Mivirus_genovaense	Ixodes holocyclus	Ixodes	Australia	Australia	2019	10658	MAG: Genoa virus isolate K39 RNA-dependent RNA polymerase, glycoprotein, and putative nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW480851	MW480851_Strawberry_virus_2	MW480851_Strawberry_virus_2	Fragaria	Fragaria	USA	USA: USDA-ARS, Corvallis, OR	2001	12956	Strawberry virus 2 isolate CFRA9094, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL420706	OL420706_Aksy-Durug_Melophagus_sigmavirus	OL420706_Aksy-Durug_Melophagus_sigmavirus	Melophagus ovinus	Melophagus	Russia	Russia: Republic of Tuva	2010	11640	Aksy-Durug Melophagus sigmavirus strain 7456, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL420707	OL420707_Aksy-Durug_Melophagus_sigmavirus	OL420707_Aksy-Durug_Melophagus_sigmavirus	Melophagus ovinus	Melophagus	Russia	Russia: Republic of Tuva	2010	11703	Aksy-Durug Melophagus sigmavirus strain 7461, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL420708	OL420708_Aksy-Durug_Melophagus_sigmavirus	OL420708_Aksy-Durug_Melophagus_sigmavirus	Melophagus ovinus	Melophagus	Russia	Russia: Republic of Tuva	2010	10988	Aksy-Durug Melophagus sigmavirus strain 7473, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL420709	OL420709_Aksy-Durug_Melophagus_sigmavirus	OL420709_Aksy-Durug_Melophagus_sigmavirus	Melophagus ovinus	Melophagus	Russia	Russia: Republic of Tuva	2012	11712	Aksy-Durug Melophagus sigmavirus strain 13577, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL420710	OL420710_Aksy-Durug_Melophagus_sigmavirus	OL420710_Aksy-Durug_Melophagus_sigmavirus	Melophagus ovinus	Melophagus	Russia	Russia: Republic of Tuva	2012	11644	Aksy-Durug Melophagus sigmavirus strain 13580, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209638	MZ209638_Guiyang_nephotettix_cincticeps_rhabdovirus_1	MZ209638_Guiyang_nephotettix_cincticeps_rhabdovirus_1	Nephotettix cincticeps	Nephotettix	China	China	2016	14770	MAG: Guiyang nephotettix cincticeps rhabdovirus 1 isolate HWYCFY172542, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209651	MZ209651_Hangzhou_rhabdovirus_1	MZ209651_Hangzhou_rhabdovirus_1	Chilo suppressalis	Chilo	China	China	2016	11892	MAG: Hangzhou rhabdovirus 1 isolate EHMFY134833, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209705	MZ209705_Guiyang_nephotettix_cincticeps_rhabdovirus_1	MZ209705_Guiyang_nephotettix_cincticeps_rhabdovirus_1	Nephotettix cincticeps	Nephotettix	China	China	2017	11513	MAG: Guiyang nephotettix cincticeps rhabdovirus 1 isolate HWYCFY159, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209708	MZ209708_Hangzhou_altica_cyanea_chuvirus_1	MZ209708_Hangzhou_altica_cyanea_chuvirus_1	Zicrona caerulea	Zicrona	China	China	2016	11878	MAG: Hangzhou altica cyanea chuvirus 1 isolate LCFY137, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209744	MZ209744_Hangzhou_rhabdovirus_1	MZ209744_Hangzhou_rhabdovirus_1	Sepedon violaceus	Sepedon	China	China	2016	10444	MAG: Hangzhou rhabdovirus 1 isolate ZHCJFY248 cRNA sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209756	MZ209756_Hangzhou_altica_cyanea_chuvirus_1	MZ209756_Hangzhou_altica_cyanea_chuvirus_1	Altica cyanea	Altica	China	China	2016	6921	MAG: Hangzhou altica cyanea chuvirus 1 isolate DLYJFY131, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209819	MZ209819_Guiyang_nephotettix_cincticeps_rhabdovirus_1	MZ209819_Guiyang_nephotettix_cincticeps_rhabdovirus_1	Nephotettix cincticeps	Nephotettix	China	China	2016	10908	MAG: Guiyang nephotettix cincticeps rhabdovirus 1 isolate HWYCCY134, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557328	MW557328_Vesiculovirus_mediterranean	MW557328_Vesiculovirus_mediterranean	Miniopterus schreibersii	Miniopterus	Spain	Spain	2012	11068	Mediterranean bat virus isolate 2012096, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557329	MW557329_Vesiculovirus_mediterranean	MW557329_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Algeria	Algeria	2008	10914	Mediterranean bat virus isolate A08011, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557330	MW557330_Vesiculovirus_mediterranean	MW557330_Vesiculovirus_mediterranean	Rhinolophus euryale	Rhinolophus	Algeria	Algeria	2008	10938	Mediterranean bat virus isolate A08065, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557331	MW557331_Vesiculovirus_mediterranean	MW557331_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Algeria	Algeria	2009	11092	Mediterranean bat virus isolate A09061, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557333	MW557333_Vesiculovirus_mediterranean	MW557333_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Algeria	Algeria	2009	11093	Mediterranean bat virus isolate A09145, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557334	MW557334_Vesiculovirus_mediterranean	MW557334_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Algeria	Algeria	2009	11093	Mediterranean bat virus isolate A09151, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557338	MW557338_Vesiculovirus_mediterranean	MW557338_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Algeria	Algeria	2009	11011	Mediterranean bat virus isolate A09197, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557339	MW557339_Vesiculovirus_mediterranean	MW557339_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Morocco	Morocco	2008	10980	Mediterranean bat virus isolate M08013, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557342	MW557342_Vesiculovirus_mediterranean	MW557342_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Morocco	Morocco	2009	10920	Mediterranean bat virus isolate M09005, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW557343	MW557343_Vesiculovirus_mediterranean	MW557343_Vesiculovirus_mediterranean	Rhinolophus ferrumequinum	Rhinolophus	Morocco	Morocco	2009	11039	Mediterranean bat virus isolate M09009, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209914	MZ209914_Sanya_Ischnura_senegalensis_xinmovirus_1	MZ209914_Sanya_Ischnura_senegalensis_xinmovirus_1	Ischnura senegalensis	Ischnura	China	China	2017	11028	MAG: Sanya Ischnura senegalensis xinmovirus 1 isolate QWXCSY124, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209928	MZ209928_Sanya_rhabdovirus_1	MZ209928_Sanya_rhabdovirus_1	Ischnura senegalensis	Ischnura	China	China	2017	10621	MAG: Sanya rhabdovirus 1 isolate QWXCSY159, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ210030	MZ210030_Fushun_monolepta_lauta_xinmovirus_1	MZ210030_Fushun_monolepta_lauta_xinmovirus_1	Monolepta lauta	Monolepta	China	China	2017	10860	MAG: Fushun monolepta lauta xinmovirus 1 isolate SBYYJFS76, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ210031	MZ210031_Fushun_monolepta_lauta_xinmovirus_2	MZ210031_Fushun_monolepta_lauta_xinmovirus_2	Monolepta lauta	Monolepta	China	China	2017	15658	MAG: Fushun monolepta lauta xinmovirus 2 isolate SBYYJFS75, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ210049	MZ210049_Fushun_oxya_chinensis_chuvirus_1	MZ210049_Fushun_oxya_chinensis_chuvirus_1	Oxya chinensis	Oxya	China	China	2017	10930	MAG: Fushun oxya chinensis chuvirus 1 isolate ZHDHFS78, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209636	MZ209636_Hangzhou_nephotettix_cincticeps_rhabdovirus_1	MZ209636_Hangzhou_nephotettix_cincticeps_rhabdovirus_1	Nephotettix cincticeps	Nephotettix	China	China	2016	12346	MAG: Hangzhou nephotettix cincticeps rhabdovirus 1 isolate HWYCFY66731, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209642	MZ209642_Guiyang_xinmovirus_1	MZ209642_Guiyang_xinmovirus_1	Oxya chinensis	Oxya	China	China	2016	11813	MAG: Guiyang xinmovirus 1 isolate ZHDHFY198634, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209673	MZ209673_Hangzhou_cletus_punctiger_xinmovirus_1	MZ209673_Hangzhou_cletus_punctiger_xinmovirus_1	Cletus punctiger	Cletus	China	China	2016	11468	MAG: Hangzhou cletus punctiger xinmovirus 1 isolate DJCFY230, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209685	MZ209685_Hangzhou_chuvirus_4	MZ209685_Hangzhou_chuvirus_4	Pentaneurella katterjokki	Pentaneurella	China	China	2016	7147	MAG: Hangzhou chuvirus 4 isolate YWLFY87, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209686	MZ209686_Hangzhou_chuvirus_1	MZ209686_Hangzhou_chuvirus_1	Pentaneurella katterjokki	Pentaneurella	China	China	2016	7046	MAG: Hangzhou chuvirus 1 isolate YWLFY83, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209687	MZ209687_Hangzhou_rhabdovirus_3	MZ209687_Hangzhou_rhabdovirus_3	Tetragnatha nitens	Tetragnatha	China	China	2016	12591	MAG: Hangzhou rhabdovirus 3 isolate HLXXFY27, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209710	MZ209710_Hangzhou_zicrona_caerulea_xinmovirus_1	MZ209710_Hangzhou_zicrona_caerulea_xinmovirus_1	Zicrona caerulea	Zicrona	China	China	2016	11415	MAG: Hangzhou zicrona caerulea xinmovirus 1 isolate LCFY122, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209719	MZ209719_Hangzhou_chuvirus_3	MZ209719_Hangzhou_chuvirus_3	Ischnura senegalensis	Ischnura	China	China	2016	7425	MAG: Hangzhou chuvirus 3 isolate QWXCFY91, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209737	MZ209737_Hangzhou_rhabdovirus_4	MZ209737_Hangzhou_rhabdovirus_4	Hydrellia griseola	Hydrellia	China	China	2016	12335	MAG: Hangzhou rhabdovirus 4 isolate YSP1FY156, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209738	MZ209738_Hangzhou_rhabdovirus_5	MZ209738_Hangzhou_rhabdovirus_5	Hydrellia griseola	Hydrellia	China	China	2016	9062	MAG: Hangzhou rhabdovirus 5 isolate YSP1FY245, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209752	MZ209752_Odonatavirus_fabricii	MZ209752_Odonatavirus_fabricii	Orthetrum chrysostigma	Orthetrum	China	China	2016	11306	MAG: Hubei odonate virus 11 isolate DLQTFY32, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209762	MZ209762_Hangzhou_tipula_scripta_rhabdovirus_1	MZ209762_Hangzhou_tipula_scripta_rhabdovirus_1	Tipula scripta	Tipula	China	China	2016	13898	MAG: Hangzhou tipula scripta rhabdovirus 1 isolate DWFY128, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209828	MZ209828_Sanya_chuvirus_2	MZ209828_Sanya_chuvirus_2	Nilaparvata lugens	Nilaparvata	China	China	2017	6670	MAG: Sanya chuvirus 2 isolate DFSLS105211, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ209844	MZ209844_Sanya_conocephalus_maculatus_rhabdovirus_1	MZ209844_Sanya_conocephalus_maculatus_rhabdovirus_1	Conocephalus maculatus	Conocephalus	China	China	2017	12541	MAG: Sanya conocephalus maculatus rhabdovirus 1 isolate BYCZSY258, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT636360	MT636360_Apis_rhabdovirus_1	MT636360_Apis_rhabdovirus_1	Apis mellifera	Apis	Sweden	Sweden	2015	14583	MAG: Apis rhabdovirus 1 isolate ARV1-MR-SEP15, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT636363	MT636363_Apis_rhabdovirus_1	MT636363_Apis_rhabdovirus_1	Apis mellifera	Apis	Sweden	Sweden	2015	14583	MAG: Apis rhabdovirus 1 isolate ARV1-MS-JUN15, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ852361	MZ852361_Drosophila-associated_anphevirus	MZ852361_Drosophila-associated_anphevirus	Drosophila melanogaster	Drosophila	USA	USA	2018	4941	Drosophila-associated anphevirus isolate Con3435 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059423	BK059423_San_Gabriel_mononegavirus	BK059423_San_Gabriel_mononegavirus	Aedes albopictus	Aedes	NA	NA	NA	12620	TPA_asm: San Gabriel mononegavirus isolate San Gabriel Valley nucleoprotein (NP), hypothetical protein 2 (ORF2), hypothetical protein 3 (ORF3), glycoprotein (GP), and large polymerase protein (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BK059424	BK059424_Formosus_virus	BK059424_Formosus_virus	Aedes aegypti	Aedes	NA	NA	NA	12151	TPA_asm: Formosus virus isolate U30 nucleoprotein (NP), hypothetical protein 2 (ORF2), hypothetical protein 3 (ORF3), glycoprotein (GP), and large polymerase protein (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491499	OK491499_Xiangshan_rhabdo-like_virus_1	OK491499_Xiangshan_rhabdo-like_virus_1	Insecta	Insecta	China	China: Beijing	2020	10798	MAG: Xiangshan rhabdo-like virus 1 isolate Novel_23 nucleocapsid protein, hypothetical protein, spike glycoprotein, and RNA dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491500	OK491500_Xiangshan_rhabdo-like_virus_2	OK491500_Xiangshan_rhabdo-like_virus_2	Insecta	Insecta	China	China: Beijing	2020	13241	MAG: Xiangshan rhabdo-like virus 2 isolate Novel_24 hypothetical protein and RNA dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491501	OK491501_Xiangshan_rhabdo-like_virus_3	OK491501_Xiangshan_rhabdo-like_virus_3	Insecta	Insecta	China	China: Beijing	2020	11774	MAG: Xiangshan rhabdo-like virus 3 isolate Novel_25 hypothetical protein and RNA dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491502	OK491502_Xiangshan_rhabdo-like_virus_4	OK491502_Xiangshan_rhabdo-like_virus_4	Insecta	Insecta	China	China: Beijing	2020	12645	MAG: Xiangshan rhabdo-like virus 4 isolate Novel_26 hypothetical protein and RNA dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491503	OK491503_Xiangshan_rhabdo-like_virus_5	OK491503_Xiangshan_rhabdo-like_virus_5	Insecta	Insecta	China	China: Beijing	2020	11517	MAG: Xiangshan rhabdo-like virus 5 isolate Novel_27 nucleocapsid protein, hypothetical protein, spike glycoprotein, and RNA dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491516	OK491516_Almendravirus_arboretum	OK491516_Almendravirus_arboretum	Insecta	Insecta	China	China: Beijing	2020	11492	MAG: Arboretum almendravirus isolate known_7 N protein, P protein, M protein, G protein, and L protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ821789	MZ821789_Apis_rhabdovirus_1	MZ821789_Apis_rhabdovirus_1	Apis mellifera	Apis	China	China: Beijing	2016	14582	Apis rhabdovirus 1 isolate ARV1_No2_Am004-BJ2016, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ821792	MZ821792_Apis_rhabdovirus_1	MZ821792_Apis_rhabdovirus_1	Apis mellifera	Apis	China	China: Hunan	2017	14585	Apis rhabdovirus 1 isolate ARV1_No5_Am032-HUN2017, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822104	MZ822104_Apis_rhabdovirus_3	MZ822104_Apis_rhabdovirus_3	Apis cerana	Apis	China	China: Sichuan	2019	13131	MAG: Apis rhabdovirus 3 isolate Sichuan/2019, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822105	MZ822105_Apis_rhabdovirus_4	MZ822105_Apis_rhabdovirus_4	Apis cerana	Apis	China	China: Zhejiang	2019	13489	MAG: Apis rhabdovirus 4 isolate No23-Acc030-ZJ2019, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822106	MZ822106_Apis_rhabdovirus_5	MZ822106_Apis_rhabdovirus_5	Apis mellifera	Apis	China	China: Heilongjiang	2017	13395	MAG: Apis rhabdovirus 5 isolate No24-Am025-HLJ2017, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822107	MZ822107_Apis_rhabdovirus_5	MZ822107_Apis_rhabdovirus_5	Apis mellifera	Apis	China	China: Heilongjiang	2019	13268	MAG: Apis rhabdovirus 5 isolate No24-Am027-HLJ2019, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822108	MZ822108_Apis_rhabdovirus_5	MZ822108_Apis_rhabdovirus_5	Apis mellifera	Apis	China	China: Hubei	2016	13405	MAG: Apis rhabdovirus 5 isolate No24-Am028-HUB2016, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ078292	MZ078292_Turkana_Chu-like_virus	MZ078292_Turkana_Chu-like_virus	NA	NA	Kenya	Kenya	2016	7040	Turkana Chu-like virus strain Turkana_2 segment L RNA dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ771217	MZ771217_Rhabdoviridae_sp_	MZ771217_Rhabdoviridae_sp.	Culicoides submaritimus	Culicoides	Greece	Greece: Thrace	2020	5719	Rhabdoviridae sp. isolate DC clone DC3 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ771226	MZ771226_Rhabdoviridae_sp_	MZ771226_Rhabdoviridae_sp.	Culicoides obsoletus	Culicoides	Greece	Greece: Thrace	2020	6454	MAG: Rhabdoviridae sp. isolate DD clone DD3 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW848533	MW848533_Cytorhabdovirus_lactucanecante	MW848533_Cytorhabdovirus_lactucanecante	Lactuca sativa	Lactuca	New Zealand	New Zealand	2017	12807	Lettuce necrotic yellows virus isolate NGSTPS18/HZ17-73, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ556272	MZ556272_Sichuan_mosquito_mivirus	MZ556272_Sichuan_mosquito_mivirus	Culicidae	Culicidae	China	China: Sichuan Province	2020	7005	Sichuan mosquito mivirus isolate mos092chul01-10 cRNA sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ328291	MZ328291_Wufeng_Rhinolophus_pearsonii_tupavirus_1	MZ328291_Wufeng_Rhinolophus_pearsonii_tupavirus_1	Rhinolophus pearsonii	Rhinolophus	China	China	2016	11828	Wufeng Rhinolophus pearsonii tupavirus 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ328292	MZ328292_Longquan_Rhinolophus_sinicus_vesiculovirus_1	MZ328292_Longquan_Rhinolophus_sinicus_vesiculovirus_1	Rhinolophus sinicus	Rhinolophus	China	China	2016	11063	Longquan Rhinolophus sinicus vesiculovirus 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ328293	MZ328293_Longquan_Niviventer_coninga_ledantevirus_1	MZ328293_Longquan_Niviventer_coninga_ledantevirus_1	Leopoldamys edwardsi	Leopoldamys	China	China	2016	10853	Longquan Niviventer coninga ledantevirus 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW760862	MW760862_Vesiculovirus_indiana	MW760862_Vesiculovirus_indiana	Equus caballus	Equus	USA	USA: Arizona	2020	11178	Vesicular stomatitis Indiana virus strain Arizona/14629/2020, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW760865	MW760865_Vesiculovirus_indiana	MW760865_Vesiculovirus_indiana	Equus caballus	Equus	USA	USA: Kansas	2020	11178	Vesicular stomatitis Indiana virus strain Kansas/18458/2020, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW760867	MW760867_Vesiculovirus_indiana	MW760867_Vesiculovirus_indiana	Equus caballus	Equus	USA	USA: Kansas	2020	11178	Vesicular stomatitis Indiana virus strain Kansas/18624/2020, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW760872	MW760872_Vesiculovirus_newjersey	MW760872_Vesiculovirus_newjersey	Equus caballus	Equus	USA	USA: Nebraska	2015	11123	Vesicular stomatitis New Jersey virus strain Nebraska/28589/2015, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW826401	MW826401_Chuviridae_sp_	MW826401_Chuviridae_sp.	Aves	Aves	China	China	2018	7234	Chuviridae sp. isolate XZN143138 segment RNA1 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW826481	MW826481_Rhabdoviridae_sp_	MW826481_Rhabdoviridae_sp.	Rattus	Rattus	China	China	2018	11751	Rhabdoviridae sp. isolate XZS177686 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW826525	MW826525_Rhabdoviridae_sp_	MW826525_Rhabdoviridae_sp.	Aves	Aves	China	China	2019	12485	Rhabdoviridae sp. isolate YSN900 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW491751	MW491751_Porton's_virus	MW491751_Porton's_virus	Mansonia uniformis	Mansonia	Malaysia	Malaysia: (Sarawak)	NA	12077	Porton's virus isolate 0416MAL, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW491753	MW491753_Sunrhavirus_boteke	MW491753_Sunrhavirus_boteke	Coquillettidia maculipennis	Coquillettidia	Central African Republic	Central African Republic: (Boteke)	1968	12432	Boteke virus isolate 0417RCA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW491756	MW491756_Sunrhavirus_bimbo	MW491756_Sunrhavirus_bimbo	NA	NA	Central African Republic	Central African Republic: (Kolongo)	1970	10969	Bimbo virus isolate 9716RCA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW084959	MW084959_Nephotettix_cincticeps_negative-stranded_RNA_virus_1	MW084959_Nephotettix_cincticeps_negative-stranded_RNA_virus_1	Nephotettix cincticeps	Nephotettix	China	China	2014	12361	Nephotettix cincticeps negative-stranded RNA virus 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ244262	MZ244262_Hebei_mivirus_1	MZ244262_Hebei_mivirus_1	Rhipicephalus turanicus	Rhipicephalus	China	China	2017	11272	MAG: Hebei mivirus 1 isolate HBD330MV polymerase, glycoprotein, nucleoprotein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ244263	MZ244263_Hebei_mivirus_2	MZ244263_Hebei_mivirus_2	Rhipicephalus turanicus	Rhipicephalus	China	China	2017	10030	MAG: Hebei mivirus 2 isolate HBO331MV polymerase gene, partial cds; glycoprotein gene, complete cds; and nucleoprotein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ244264	MZ244264_Mivirus_boleense	MZ244264_Mivirus_boleense	Hyalomma asiaticum	Hyalomma	China	China	2017	11086	MAG: Bole Tick Virus 3 isolate GSC345MV polymerase, glycoprotein, and nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ244265	MZ244265_Mivirus_boleense	MZ244265_Mivirus_boleense	Hyalomma asiaticum	Hyalomma	China	China	2017	11143	MAG: Bole Tick Virus 3 isolate GSC346MV polymerase, glycoprotein, and nucleoprotein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ244269	MZ244269_Xinjiang_mivirus_1	MZ244269_Xinjiang_mivirus_1	Ixodoidea	Ixodoidea	China	China	2017	7912	MAG: Xinjiang mivirus 1 isolate XJO381MV RNA-dependent RNA polymerase and glycoprotein genes, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
