sample_id	'ref_id	'total_reads	'mapped_reads	'average_cov	'norm_average_cov	'percentage_covered	'mosquito_id	'genus_species	'Location	'Batch	'LibPool	'percentage_mapped	'rRNA	'Batch_rounded
F1071	'Aedes_albopictus_12S_NC_006817	'12015636	'194491	'15618.434079602	'1299.84247855061	'100	'F1071	'Aedes albopictus	'Sihanuokville	'15.1	'15	'1.61864923338224	'12S	'15
F1074	'Aedes_albopictus_12S_NC_006817	'5891662	'2396	'192.919154228856	'32.7444368378321	'97.39	'F1074	'Aedes albopictus	'Sihanuokville	'15.2	'15	'0.0406676418300982	'12S	'15
F1075	'Aedes_albopictus_12S_NC_006817	'9291614	'11228	'1028.33582089552	'110.673540775103	'99.75	'F1075	'Aedes albopictus	'Sihanuokville	'1.3	'1	'0.120840146824868	'12S	'1
F1076	'Aedes_albopictus_12S_NC_006817	'8776532	'16436	'1513.51865671642	'172.450650976538	'99.63	'F1076	'Aedes albopictus	'Sihanuokville	'4.1	'4	'0.187272148042074	'12S	'4
F1078	'Aedes_albopictus_12S_NC_006817	'4775444	'4716	'367.508706467662	'76.9580182424214	'95.77	'F1078	'Aedes albopictus	'Sihanuokville	'15.2	'14	'0.0987552152218726	'12S	'15
F1079	'Aedes_albopictus_12S_NC_006817	'10965988	'31875	'2906.63184079602	'265.058820126013	'100	'F1079	'Aedes albopictus	'Sihanuokville	'1.3	'2	'0.290671483499708	'12S	'1
F1080	'Aedes_albopictus_12S_NC_006817	'6434004	'92960	'7409.05597014925	'1151.54668386113	'97.64	'F1080	'Aedes albopictus	'Sihanuokville	'15.2	'14	'1.4448234722888	'12S	'15
F1081	'Aedes_albopictus_12S_NC_006817	'9872238	'188691	'14925.6902985075	'1511.88517725236	'97.64	'F1081	'Aedes albopictus	'Sihanuokville	'15.2	'15	'1.91132952831972	'12S	'15
F1082	'Aedes_albopictus_12S_NC_006817	'9209050	'9130	'730.60447761194	'79.3354882004051	'92.91	'F1082	'Aedes albopictus	'Sihanuokville	'15.2	'14	'0.0991416052687302	'12S	'15
F1083	'Aedes_albopictus_12S_NC_006817	'9522616	'21740	'1981.75746268657	'208.110614004237	'99.75	'F1083	'Aedes albopictus	'Sihanuokville	'2.1	'2	'0.228298610381853	'12S	'2
F1157	'Aedes_albopictus_12S_NC_006817	'14970258	'1943	'178.702736318408	'11.9371848045911	'98.51	'F1157	'Aedes albopictus	'Pursat	'12.2	'12	'0.0129790682298194	'12S	'12
F1158	'Aedes_albopictus_12S_NC_006817	'19273744	'61179	'5651.64427860697	'293.230224423805	'97.14	'F1158	'Aedes albopictus	'Pursat	'12.2	'12	'0.317421462067775	'12S	'12
F1159	'Aedes_albopictus_12S_NC_006817	'16056796	'17462	'1614.64925373134	'100.55862039546	'97.26	'F1159	'Aedes albopictus	'Pursat	'12.2	'12	'0.108751459506616	'12S	'12
F1160	'Aedes_albopictus_12S_NC_006817	'14089948	'51620	'4754.44154228856	'337.434995664183	'97.26	'F1160	'Aedes albopictus	'Pursat	'12.2	'12	'0.366360472018775	'12S	'12
F1161	'Aedes_albopictus_12S_NC_006817	'11478364	'35016	'3192.48383084577	'278.130562059695	'99.75	'F1161	'Aedes albopictus	'Pursat	'2.1	'2	'0.305060895437712	'12S	'2
F1162	'Aedes_albopictus_12S_NC_006817	'15312052	'55263	'5102.68407960199	'333.246261154415	'100	'F1162	'Aedes albopictus	'Pursat	'12.2	'12	'0.360911783737412	'12S	'12
F1163	'Aedes_albopictus_12S_NC_006817	'13920024	'76220	'7022.87313432836	'504.51587830081	'100	'F1163	'Aedes albopictus	'Pursat	'12.2	'12	'0.54755652720139	'12S	'12
F1164	'Aedes_albopictus_12S_NC_006817	'14379948	'48356	'4460.40298507463	'310.182135921119	'94.78	'F1164	'Aedes albopictus	'Pursat	'12.2	'12	'0.336273816845513	'12S	'12
F1165	'Aedes_albopictus_12S_NC_006817	'9654426	'6996	'636.353233830846	'65.9131090580471	'97.39	'F1165	'Aedes albopictus	'Pursat	'2.1	'2	'0.0724641734267786	'12S	'2
F1167	'Aedes_albopictus_12S_NC_006817	'12688622	'7686	'710.190298507463	'55.9706403506593	'97.01	'F1167	'Aedes albopictus	'Pursat	'12.2	'12	'0.060573953578253	'12S	'12
F1168	'Aedes_albopictus_12S_NC_006817	'10210344	'53769	'4956.99004975124	'485.487075631462	'99.38	'F1168	'Aedes albopictus	'Pursat	'12.2	'12	'0.526613011275624	'12S	'12
F1171	'Aedes_albopictus_12S_NC_006817	'13368048	'63409	'5845.53731343284	'437.276804618957	'97.89	'F1171	'Aedes albopictus	'Pursat	'12.2	'12	'0.47433252783054	'12S	'12
F1341	'Aedes_albopictus_12S_NC_006817	'13828390	'35514	'3265.53482587065	'236.147145536874	'99.38	'F1341	'Aedes albopictus	'Kompong Thom	'1.1	'1	'0.256819485131675	'12S	'1
F1342	'Aedes_albopictus_12S_NC_006817	'14561332	'814	'74.6318407960199	'5.12534435695992	'94.4	'F1342	'Aedes albopictus	'Kompong Thom	'1.2	'1	'0.00559014793426865	'12S	'1
F1343	'Aedes_albopictus_12S_NC_006817	'9529354	'16613	'1473.58955223881	'154.63687803379	'100	'F1343	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.174335007388748	'12S	'7
F1344	'Aedes_albopictus_12S_NC_006817	'10417470	'3283	'290.11815920398	'27.849195553621	'97.51	'F1344	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.0315143696118155	'12S	'7
F1345	'Aedes_albopictus_12S_NC_006817	'10437050	'1742	'159.199004975124	'15.2532569045012	'97.51	'F1345	'Aedes albopictus	'Kompong Thom	'5.2	'5	'0.0166905399514231	'12S	'5
F1348	'Aedes_albopictus_12S_NC_006817	'12380086	'1296	'115.048507462687	'9.29302974653702	'96.64	'F1348	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.0104684248558532	'12S	'7
F1349	'Aedes_albopictus_12S_NC_006817	'10342374	'25382	'2244.22014925373	'216.992747434364	'97.14	'F1349	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.245417541465818	'12S	'7
F1350	'Aedes_albopictus_12S_NC_006817	'10664650	'43422	'3835.91417910448	'359.684957228271	'99.63	'F1350	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.407158228352548	'12S	'7
F1508	'Aedes_albopictus_12S_NC_006817	'12379428	'90685	'8379.24253731343	'676.868312276903	'100	'F1508	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.732545962543665	'12S	'10
F1509	'Aedes_albopictus_12S_NC_006817	'13942914	'126105	'11651.3358208955	'835.645677861566	'99.25	'F1509	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.904437910181473	'12S	'10
F1511	'Aedes_albopictus_12S_NC_006817	'10745084	'2358	'215.925373134328	'20.0952708358844	'99.25	'F1511	'Aedes albopictus	'Preah Vihear	'1.3	'1	'0.0219449191835075	'12S	'1
F1513	'Aedes_albopictus_12S_NC_006817	'7785214	'20118	'1851.6815920398	'237.845946436386	'100	'F1513	'Aedes albopictus	'Preah Vihear	'4.1	'4	'0.258412935084379	'12S	'4
F1514	'Aedes_albopictus_12S_NC_006817	'10419326	'48241	'4455.26865671642	'427.596627336204	'97.51	'F1514	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.462995399126585	'12S	'10
F1515	'Aedes_albopictus_12S_NC_006817	'9741362	'27423	'2507.1815920398	'257.374850871962	'99.75	'F1515	'Aedes albopictus	'Preah Vihear	'1.3	'1	'0.28151094272033	'12S	'1
F1516	'Aedes_albopictus_12S_NC_006817	'6798842	'386	'32.7748756218905	'4.82065557956642	'95.52	'F1516	'Aedes albopictus	'Preah Vihear	'17	'20	'0.00567743742243164	'12S	'17
F1517	'Aedes_albopictus_12S_NC_006817	'10722820	'68610	'6324.89800995025	'589.853975908413	'100	'F1517	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.639850337877536	'12S	'10
F1518	'Aedes_albopictus_12S_NC_006817	'14627864	'27331	'2497.21144278607	'170.716069194113	'99.63	'F1518	'Aedes albopictus	'Preah Vihear	'2.2	'3	'0.186842043376941	'12S	'2
F1519	'Aedes_albopictus_12S_NC_006817	'10318986	'1678	'153.401741293532	'14.8659704832948	'98.13	'F1519	'Aedes albopictus	'Preah Vihear	'1.3	'2	'0.0162612876885384	'12S	'1
F1520	'Aedes_albopictus_12S_NC_006817	'13463376	'97895	'9038.14179104478	'671.313182595864	'100	'F1520	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.727120745940691	'12S	'10
F1521	'Aedes_albopictus_12S_NC_006817	'9727498	'36616	'3379.8407960199	'347.452222145911	'99.75	'F1521	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.376417450818289	'12S	'10
F1003	'Aedes_albopictus_16S_NC_006817	'9634240	'67708	'3722.06301575394	'386.336962308801	'100	'F1003	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.702785066595808	'16S	'3
F1004	'Aedes_albopictus_16S_NC_006817	'10499140	'22920	'1265.89947486872	'120.571730148252	'100	'F1004	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.218303594389636	'16S	'6
F1005	'Aedes_albopictus_16S_NC_006817	'11350982	'17766	'976.802700675169	'86.0544665364784	'100	'F1005	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.156515092702993	'16S	'1
F1006	'Aedes_albopictus_16S_NC_006817	'14489092	'9689	'535.690172543136	'36.9719629458586	'100	'F1006	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0668709950906516	'16S	'6
F1007	'Aedes_albopictus_16S_NC_006817	'11425918	'37269	'2043.97899474869	'178.889695755622	'100	'F1007	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.326179480720936	'16S	'3
F1008	'Aedes_albopictus_16S_NC_006817	'7570608	'6699	'370.379594898725	'48.9233618883351	'100	'F1008	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0884869484723024	'16S	'6
F1009	'Aedes_albopictus_16S_NC_006817	'14390748	'20993	'1145.09377344336	'79.5715256387896	'100	'F1009	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.145878449125786	'16S	'1
F1010	'Aedes_albopictus_16S_NC_006817	'9240394	'3400	'186.735183795949	'20.2085737681693	'100	'F1010	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.0367949678336227	'16S	'3
F1012	'Aedes_albopictus_16S_NC_006817	'11964064	'25829	'1416.89722430608	'118.429425344605	'100	'F1012	'Aedes albopictus	'Battambang & Pailin	'2.2	'3	'0.215888179802448	'16S	'2
F1013	'Aedes_albopictus_16S_NC_006817	'9724094	'13158	'725.637659414854	'74.6226496180368	'100	'F1013	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.135313377266818	'16S	'6
F1014	'Aedes_albopictus_16S_NC_006817	'8846766	'5582	'309.710427606902	'35.0083214145035	'100	'F1014	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0630965032871899	'16S	'6
F1015	'Aedes_albopictus_16S_NC_006817	'12581618	'20804	'1140.20105026257	'90.6243577147681	'99.17	'F1015	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.165352341805323	'16S	'1
F1016	'Aedes_albopictus_16S_NC_006817	'7917742	'16025	'883.63615903976	'111.6020399553	'100	'F1016	'Aedes albopictus	'Battambang & Pailin	'5.1	'5	'0.202393561194593	'16S	'5
F1017	'Aedes_albopictus_16S_NC_006817	'8961060	'8909	'436.099024756189	'48.6660087931773	'100	'F1017	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0994190419436986	'16S	'6
F1069	'Aedes_albopictus_16S_NC_006817	'9625510	'12495	'685.215303825957	'71.1874283883095	'99.25	'F1069	'Aedes albopictus	'Sihanuokville	'2.2	'3	'0.129811303504957	'16S	'2
F1070	'Aedes_albopictus_16S_NC_006817	'9303792	'5996	'329.49887471868	'35.4155461255668	'99.25	'F1070	'Aedes albopictus	'Sihanuokville	'1.3	'1	'0.0644468406000478	'16S	'1
F1071	'Aedes_albopictus_16S_NC_006817	'12015636	'226567	'10471.7501875469	'871.510271079025	'100	'F1071	'Aedes albopictus	'Sihanuokville	'15.1	'15	'1.88560139471602	'16S	'15
F1074	'Aedes_albopictus_16S_NC_006817	'5891662	'1944	'93.7029257314329	'15.9043281388907	'96.02	'F1074	'Aedes albopictus	'Sihanuokville	'15.2	'15	'0.0329957828538025	'16S	'15
F1075	'Aedes_albopictus_16S_NC_006817	'9291614	'7404	'408.130532633158	'43.9246112282708	'100	'F1075	'Aedes albopictus	'Sihanuokville	'1.3	'1	'0.0796847565987997	'16S	'1
F1076	'Aedes_albopictus_16S_NC_006817	'8776532	'27572	'1528.66841710428	'174.176818030661	'100	'F1076	'Aedes albopictus	'Sihanuokville	'4.1	'4	'0.31415597869409	'16S	'4
F1078	'Aedes_albopictus_16S_NC_006817	'4775444	'3944	'182.492123030758	'38.214692294739	'95.8	'F1078	'Aedes albopictus	'Sihanuokville	'15.2	'14	'0.0825891791422955	'16S	'15
F1079	'Aedes_albopictus_16S_NC_006817	'10965988	'65681	'3605.95423855964	'328.830766417001	'100	'F1079	'Aedes albopictus	'Sihanuokville	'1.3	'2	'0.598951959458646	'16S	'1
F1080	'Aedes_albopictus_16S_NC_006817	'6434004	'90443	'4274.07951987997	'664.29544027016	'100	'F1080	'Aedes albopictus	'Sihanuokville	'15.2	'14	'1.40570319819509	'16S	'15
F1081	'Aedes_albopictus_16S_NC_006817	'9872238	'129998	'6066.03375843961	'614.453759972117	'100	'F1081	'Aedes albopictus	'Sihanuokville	'15.2	'15	'1.31680374804578	'16S	'15
F1082	'Aedes_albopictus_16S_NC_006817	'9209050	'8691	'411.009002250563	'44.6309882398904	'99.62	'F1082	'Aedes albopictus	'Sihanuokville	'15.2	'14	'0.0943745554644616	'16S	'15
F1083	'Aedes_albopictus_16S_NC_006817	'9522616	'13324	'725.86271567892	'76.2251376805407	'98.42	'F1083	'Aedes albopictus	'Sihanuokville	'2.1	'2	'0.139919534716091	'16S	'2
F1157	'Aedes_albopictus_16S_NC_006817	'14970258	'2664	'148.2048012003	'9.89994970028573	'97.9	'F1157	'Aedes albopictus	'Pursat	'12.2	'12	'0.0177952844900869	'16S	'12
F1158	'Aedes_albopictus_16S_NC_006817	'19273744	'112324	'6246.35558889722	'324.086258948818	'100	'F1158	'Aedes albopictus	'Pursat	'12.2	'12	'0.582782463023271	'16S	'12
F1159	'Aedes_albopictus_16S_NC_006817	'16056796	'24444	'1359.89497374344	'84.6927976006817	'100	'F1159	'Aedes albopictus	'Pursat	'12.2	'12	'0.152234605210155	'16S	'12
F1160	'Aedes_albopictus_16S_NC_006817	'14089948	'124490	'6923.38109527382	'491.370237510729	'100	'F1160	'Aedes albopictus	'Pursat	'12.2	'12	'0.883537682325016	'16S	'12
F1161	'Aedes_albopictus_16S_NC_006817	'11478364	'28357	'1551.01800450113	'135.125354493125	'100	'F1161	'Aedes albopictus	'Pursat	'2.1	'2	'0.24704740152865	'16S	'2
F1162	'Aedes_albopictus_16S_NC_006817	'15312052	'58086	'3230.73743435859	'210.993107544214	'100	'F1162	'Aedes albopictus	'Pursat	'12.2	'12	'0.379348241502837	'16S	'12
F1163	'Aedes_albopictus_16S_NC_006817	'13920024	'237095	'13154.7501875469	'945.023527800447	'100	'F1163	'Aedes albopictus	'Pursat	'12.2	'12	'1.70326574149585	'16S	'12
F1164	'Aedes_albopictus_16S_NC_006817	'14379948	'53665	'2972.99924981245	'206.746175286062	'96.17	'F1164	'Aedes albopictus	'Pursat	'12.2	'12	'0.373193282757351	'16S	'12
F1165	'Aedes_albopictus_16S_NC_006817	'9654426	'15517	'844.201800450113	'87.4419463622293	'100	'F1165	'Aedes albopictus	'Pursat	'2.1	'2	'0.160724210843814	'16S	'2
F1167	'Aedes_albopictus_16S_NC_006817	'12688622	'9253	'514.986496624156	'40.5864794951064	'94.97	'F1167	'Aedes albopictus	'Pursat	'12.2	'12	'0.0729236003720499	'16S	'12
F1168	'Aedes_albopictus_16S_NC_006817	'10210344	'80343	'4463.90697674419	'437.194572165657	'100	'F1168	'Aedes albopictus	'Pursat	'12.2	'12	'0.786878483232298	'16S	'12
F1171	'Aedes_albopictus_16S_NC_006817	'13368048	'90319	'5015.63240810203	'375.195571417908	'100	'F1171	'Aedes albopictus	'Pursat	'12.2	'12	'0.675633420825539	'16S	'12
F1341	'Aedes_albopictus_16S_NC_006817	'13828390	'28569	'1577.711927982	'114.09223546501	'99.25	'F1341	'Aedes albopictus	'Kompong Thom	'1.1	'1	'0.206596718779265	'16S	'1
F1342	'Aedes_albopictus_16S_NC_006817	'14561332	'672	'36.9789947486872	'2.53953379736738	'94.3	'F1342	'Aedes albopictus	'Kompong Thom	'1.2	'1	'0.00461496242239378	'16S	'1
F1343	'Aedes_albopictus_16S_NC_006817	'9529354	'16539	'880.704426106527	'92.4201604963491	'100	'F1343	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.173558459471649	'16S	'7
F1344	'Aedes_albopictus_16S_NC_006817	'10417470	'9895	'524.869467366842	'50.3835832852738	'98.35	'F1344	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.0949846747818808	'16S	'7
F1345	'Aedes_albopictus_16S_NC_006817	'10437050	'7773	'426.723180795199	'40.8854207649862	'98.95	'F1345	'Aedes albopictus	'Kompong Thom	'5.2	'5	'0.0744750671885255	'16S	'5
F1348	'Aedes_albopictus_16S_NC_006817	'12380086	'1327	'70.0015003750938	'5.65436301291395	'100	'F1348	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.0107188269936089	'16S	'7
F1349	'Aedes_albopictus_16S_NC_006817	'10342374	'41943	'2225.07126781695	'215.141249757256	'100	'F1349	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.405545187207502	'16S	'7
F1350	'Aedes_albopictus_16S_NC_006817	'10664650	'87147	'4637.1807951988	'434.817907310488	'100	'F1350	'Aedes albopictus	'Kompong Thom	'7.1	'7	'0.817157618862316	'16S	'7
F1508	'Aedes_albopictus_16S_NC_006817	'12379428	'84249	'4689.39909977494	'378.805797794126	'100	'F1508	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.680556484516086	'16S	'10
F1509	'Aedes_albopictus_16S_NC_006817	'13942914	'123571	'6876.37959489872	'493.180951621643	'100	'F1509	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.886263803965226	'16S	'10
F1511	'Aedes_albopictus_16S_NC_006817	'10745084	'4642	'255.19279819955	'23.7497257536144	'100	'F1511	'Aedes albopictus	'Preah Vihear	'1.3	'1	'0.0432011513358109	'16S	'1
F1513	'Aedes_albopictus_16S_NC_006817	'7785214	'21953	'1210.32783195799	'155.464940585832	'100	'F1513	'Aedes albopictus	'Preah Vihear	'4.1	'4	'0.281983256979192	'16S	'4
F1514	'Aedes_albopictus_16S_NC_006817	'10419326	'60434	'3362.18454613653	'322.687335643067	'100	'F1514	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.580018323642048	'16S	'10
F1515	'Aedes_albopictus_16S_NC_006817	'9741362	'32892	'1812.47936984246	'186.060159743828	'100	'F1515	'Aedes albopictus	'Preah Vihear	'1.3	'1	'0.337652989386905	'16S	'1
F1516	'Aedes_albopictus_16S_NC_006817	'6798842	'536	'27.2333083270818	'4.00558041017599	'96.02	'F1516	'Aedes albopictus	'Preah Vihear	'17	'20	'0.00788369548814342	'16S	'17
F1517	'Aedes_albopictus_16S_NC_006817	'10722820	'93060	'5174.41485371343	'482.561010416423	'100	'F1517	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.867868713640628	'16S	'10
F1518	'Aedes_albopictus_16S_NC_006817	'14627864	'35296	'1937.25956489122	'132.436257603381	'100	'F1518	'Aedes albopictus	'Preah Vihear	'2.2	'3	'0.241292918774744	'16S	'2
F1519	'Aedes_albopictus_16S_NC_006817	'10318986	'3414	'187.788447111778	'18.1983430457002	'98.65	'F1519	'Aedes albopictus	'Preah Vihear	'1.3	'2	'0.0330846461076699	'16S	'1
F1520	'Aedes_albopictus_16S_NC_006817	'13463376	'96227	'5354.60840210053	'397.716620415305	'100	'F1520	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.714731579954389	'16S	'10
F1521	'Aedes_albopictus_16S_NC_006817	'9727498	'64889	'3607.90022505626	'370.897041053749	'100	'F1521	'Aedes albopictus	'Preah Vihear	'10.1	'10	'0.667067729029603	'16S	'10
F1003	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9634240	'1534	'56.7493566649511	'5.89038228910128	'98.97	'F1003	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.0159223768558807	'18S	'3
F1004	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'10499140	'1108	'41.7575913535769	'3.97723921707654	'98.76	'F1004	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0105532453134257	'18S	'6
F1005	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'11350982	'214	'7.92485846628924	'0.698165010418415	'95.52	'F1005	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.0018852994392908	'18S	'1
F1006	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'14489092	'364	'13.6016469377252	'0.938750815974194	'98.2	'F1006	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.00251223472112676	'18S	'6
F1007	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'11425918	'6680	'245.384971693258	'21.4761712532208	'98.2	'F1007	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.0584635737802424	'18S	'3
F1008	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'7570608	'3954	'148.907359752959	'19.6691414682889	'99.13	'F1008	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0522283018748296	'18S	'6
F1009	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'14390748	'290	'9.96551724137931	'0.69249473629719	'93.82	'F1009	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.0020151836443804	'18S	'1
F1010	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9240394	'597	'21.5805455481215	'2.33545729198576	'93.31	'F1010	'Aedes albopictus	'Battambang & Pailin	'3.1	'3	'0.00646076346960963	'18S	'3
F1012	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'11964064	'9069	'340.943901183737	'28.4973317748665	'99.28	'F1012	'Aedes albopictus	'Battambang & Pailin	'2.2	'3	'0.075802001727841	'18S	'2
F1013	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9724094	'10824	'408.174987133299	'41.9756315738308	'100	'F1013	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.111311141171609	'18S	'6
F1014	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'8846766	'16426	'619.720535254761	'70.0505173590847	'100	'F1014	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.185672368863379	'18S	'6
F1015	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'12581618	'494	'17.7457539886773	'1.41045086479953	'88.37	'F1015	'Aedes albopictus	'Battambang & Pailin	'1.1	'1	'0.00392636304805948	'18S	'1
F1016	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'7917742	'356	'13.3412249099331	'1.68497848375624	'98.66	'F1016	'Aedes albopictus	'Battambang & Pailin	'5.1	'5	'0.00449623137505617	'18S	'5
F1017	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'8961060	'3646	'130.885743695317	'14.6060559459837	'98.61	'F1017	'Aedes albopictus	'Battambang & Pailin	'6.1	'6	'0.0406871508504574	'18S	'6
F1069	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9625510	'9334	'351.195059186824	'36.4858650800658	'99.07	'F1069	'Aedes albopictus	'Sihanuokville	'2.2	'3	'0.0969714851472805	'18S	'2
F1070	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9303792	'1514	'56.3113741636644	'6.05251860356126	'98.97	'F1070	'Aedes albopictus	'Sihanuokville	'1.3	'1	'0.0162729347345684	'18S	'1
F1071	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'12015636	'526	'19.7416366443644	'1.64299556381072	'15.54	'F1071	'Aedes albopictus	'Sihanuokville	'15.1	'15	'0.00437762928237839	'18S	'15
F1074	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'5891662	'1141	'42.3798250128667	'7.19318674643364	'49.46	'F1074	'Aedes albopictus	'Sihanuokville	'15.2	'15	'0.0193663519733481	'18S	'15
F1075	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9291614	'1107	'41.6423057128152	'4.48170852909034	'100	'F1075	'Aedes albopictus	'Sihanuokville	'1.3	'1	'0.0119139688755904	'18S	'1
F1076	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'8776532	'471	'17.8558929490479	'2.0345043975283	'98.87	'F1076	'Aedes albopictus	'Sihanuokville	'4.1	'4	'0.00536658443221081	'18S	'4
F1078	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'4775444	'1834	'67.4987133299022	'14.1345419043553	'64.33	'F1078	'Aedes albopictus	'Sihanuokville	'15.2	'14	'0.0384048059196171	'18S	'15
F1079	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'10965988	'16198	'607.646937725167	'55.4119644965111	'98.97	'F1079	'Aedes albopictus	'Sihanuokville	'1.3	'2	'0.147711268697358	'18S	'1
F1080	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'6434004	'4052	'151.564590838909	'23.5568070580791	'75.5	'F1080	'Aedes albopictus	'Sihanuokville	'15.2	'14	'0.0629778905950323	'18S	'15
F1081	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9872238	'10165	'382.651569737519	'38.7603671768771	'54.4	'F1081	'Aedes albopictus	'Sihanuokville	'15.2	'15	'0.102965507922317	'18S	'15
F1082	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9209050	'847	'29.4868759650026	'3.20194547374621	'35.92	'F1082	'Aedes albopictus	'Sihanuokville	'15.2	'14	'0.00919747422372558	'18S	'15
F1083	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'9522616	'2793	'104.910962429233	'11.0170317094833	'99.28	'F1083	'Aedes albopictus	'Sihanuokville	'2.1	'2	'0.0293301756576134	'18S	'2
F1157	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'14970258	'625	'20.5486361296963	'1.37263072751962	'96.65	'F1157	'Aedes albopictus	'Pursat	'12.2	'12	'0.00417494474711124	'18S	'12
F1158	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'19273744	'49029	'1836.31652084406	'95.2755479601709	'98.82	'F1158	'Aedes albopictus	'Pursat	'12.2	'12	'0.254382334848901	'18S	'12
F1159	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'16056796	'1028	'36.2068965517241	'2.25492660875334	'99.38	'F1159	'Aedes albopictus	'Pursat	'12.2	'12	'0.00640227352953852	'18S	'12
F1160	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'14089948	'44008	'1657.184251158	'117.614646353415	'99.07	'F1160	'Aedes albopictus	'Pursat	'12.2	'12	'0.312336142049637	'18S	'12
F1161	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'11478364	'1938	'72.2938754503345	'6.29827346914025	'98.76	'F1161	'Aedes albopictus	'Pursat	'2.1	'2	'0.0168839392094553	'18S	'2
F1162	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'15312052	'18683	'703.233144621719	'45.9267735390214	'100	'F1162	'Aedes albopictus	'Pursat	'12.2	'12	'0.122014998381667	'18S	'12
F1163	'Aedes_albopictus_18S_MNAF02000094_105101_107043	'13920024	'2325	'86.8208955223881	'6.23712254536257	'93.62	'F1163	'Aedes albopictus	'Pursat	'12.2	'12	'0.0167025574093838	'18S	'12
