tip_join_var	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	novel_seq	nt_slen	nt_title
KT599442	KT599442_Culiseta_flavivirus	KT599442_Culiseta_flavivirus_polyprotein	Culiseta melanura	Culiseta	USA	USA: Willington, Connecticut	2013	NA	10864	Culiseta flavivirus strain 502-13, complete genome
KX669682	KX669682_Calbertado_virus	KX669682_Calbertado_virus_polyprotein	Culex tarsalis	Culex	USA	USA: California	2007	NA	10749	Calbertado virus isolate Cal_mos_2 polyprotein gene, complete cds
KX669683	KX669683_Calbertado_virus	KX669683_Calbertado_virus_polyprotein	Culex tarsalis	Culex	Canada	Canada: Manitoba	2007	NA	10736	Calbertado virus isolate 42-81 polyprotein gene, complete cds
KX669684	KX669684_Calbertado_virus	KX669684_Calbertado_virus_polyprotein	Culex tarsalis	Culex	Canada	Canada: Saskatchewan	2007	NA	10734	Calbertado virus isolate SK-43 polyprotein gene, complete cds
MW434106	MW434106_Calbertado_virus	MW434106_Calbertado_virus_polyprotein	Culex tarsalis	Culex	USA	USA: Alameda County, California	2017	NA	10763	Calbertado virus isolate CMS001_032_ALCO genomic sequence
KX669685	KX669685_Calbertado_virus	KX669685_Calbertado_virus_polyprotein	Culex tarsalis	Culex	Canada	Canada: Saskatchewan	2007	NA	10731	Calbertado virus isolate SK-90 polyprotein gene, complete cds
KX669686	KX669686_Calbertado_virus	KX669686_Calbertado_virus_polyprotein	Culex tarsalis	Culex	Canada	Canada: Manitoba	2007	NA	10719	Calbertado virus isolate 42-15 polyprotein gene, complete cds
KX669687	KX669687_Calbertado_virus	KX669687_Calbertado_virus_polyprotein	Culex tarsalis	Culex	Canada	Canada: Manitoba	2007	NA	10717	Calbertado virus isolate 4a2 polyprotein gene, complete cds
KX669688	KX669688_Calbertado_virus	KX669688_Calbertado_virus_polyprotein	Culex tarsalis	Culex	Canada	Canada: Manitoba	2007	NA	10734	Calbertado virus isolate 44-13 polyprotein gene, complete cds
KX669689	KX669689_Calbertado_virus	KX669689_Calbertado_virus_polyprotein	Culex tarsalis cell line	Culex	Canada	Canada: Manitoba	2016	NA	10733	Calbertado virus isolate CALper polyprotein gene, complete cds
MH899446	MH899446_Sabethes_flavivirus	MH899446_Sabethes_flavivirus_polyprotein_precursor	Sabethes belisarioi	Sabethes	Brazil	Brazil	2017	NA	10585	Sabethes flavivirus isolate Ms42, complete genome
KX148546	KX148546_Anopheles_flavivirus	KX148546_Anopheles_flavivirus_polyprotein	Anopheles gambiae	Anopheles	Liberia	Liberia	2013	NA	10588	Anopheles flavivirus variant 1, complete genome
KX148547	KX148547_Anopheles_flavivirus	KX148547_Anopheles_flavivirus_polyprotein	Anopheles gambiae	Anopheles	Liberia	Liberia	2013	NA	10529	Anopheles flavivirus variant 2, complete genome
MF352617	MF352617_Haslams_Creek_virus	MF352617_Haslams_Creek_virus_polyprotein	Anopheles annulipes	Anopheles	Australia	Australia: Sydney	2007	NA	9997	Haslams Creek virus isolate HaCV 115734 polyprotein gene, partial cds
MF352616	MF352616_Mac_Peak_virus	MF352616_Mac_Peak_virus_polyprotein	Anopheles farauti	Anopheles	Australia	Australia: Cairns	2005	NA	10026	Mac Peak virus isolate McPV 150840 polyprotein gene, complete cds
KY460522	KY460522_Karumba_virus	KY460522_Karumba_virus_polyprotein	Anopheles meraukensis	Anopheles	Australia	Australia: Karumba	2001	NA	10646	Karumba virus isolate KRBV 1892, complete genome
KY460523	KY460523_Karumba_virus	KY460523_Karumba_virus_polyprotein	Anopheles meraukensis	Anopheles	Australia	Australia: Wide Bay	2005	NA	10026	Karumba virus isolate KRBV WBay2 polyprotein gene, partial cds
MF352615	MF352615_Karumba_virus	MF352615_Karumba_virus_polyprotein	Anopheles meraukensis	Anopheles	Australia	Australia: Wyndham	2014	NA	10029	Karumba virus isolate KRBV Kim1 polyprotein gene, complete cds
LC567153	LC567153_Mansonia_flavivirus	LC567153_Mansonia_flavivirus_polyprotein	Mansonia	Mansonia	Bolivia	Bolivia	NA	NA	10922	Mansonia flavivirus bvmq18-1 RNA, nearly complete genome
LC540441	LC540441_Tabanus_rufidens_flavivirus	LC540441_Tabanus_rufidens_flavivirus_polyprotein	Tabanus rufidens	Tabanus	Japan	Japan: Ishikawa, Wajima	NA	NA	10310	Tabanus rufidens flavivirus 18HF18 gene for polyprotein, complete cds
MZ972992	MZ972992_Cell_fusing_agent_virus	NA	Aedes	Aedes	Brazil	Brazil	2017	NA	10684	Cell fusing agent virus strain Macapa_01, complete genome
MZ972993	MZ972993_Cell_fusing_agent_virus	NA	Aedes	Aedes	Brazil	Brazil	2017	NA	10684	Cell fusing agent virus strain Macapa_04, complete genome
MZ972994	MZ972994_Cell_fusing_agent_virus	NA	Aedes	Aedes	Brazil	Brazil	2017	NA	10684	Cell fusing agent virus strain Macapa_02, complete genome
MZ202252	MZ202252_Tafomo_virus	NA	Culex	Culex	Cote d'Ivoire	Cote d'Ivoire	2004	NA	10324	Tafomo virus strain TV/B22-CI-2004, complete genome
