qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas	contig_len
F1623_NODE_1019_length_329_cov_1.919708	QSV27740.1	100	109	0	0	2	328	4656	4764	7096	2.2e-69	236.1	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	329
F1623_NODE_1091_length_322_cov_2.134831	QTW60025.1	100	90	0	0	52	321	1	90	275	1.9e-51	173.3	QTW60025.1 ORF3a protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	322
F1623_NODE_3465_length_259_cov_0.931373	AID16712.1	74.1	85	20	2	256	2	5295	5377	7071	2.9e-33	131.7	AID16712.1 orf1ab polyprotein [Bat SARS-like coronavirus]	1508227	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Bat SARS-like coronavirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	259
F1623_NODE_479_length_415_cov_1.411111	QVV16417.1	91.2	57	5	0	403	233	363	419	419	3.9e-20	95.9	QVV16417.1 nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	415
F1623_NODE_544_length_402_cov_0.827089	QUW12533.1	100	133	0	0	400	2	5667	5799	7093	3.5e-81	271.2	QUW12533.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	402
PBS11a_NODE_211_length_275_cov_0.868182	QUQ03978.1	98.9	91	1	0	3	275	24	114	121	7.9e-57	181	QUQ03978.1 ORF7a protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	275
PBS11a_NODE_403_length_262_cov_0.922705	QXK76233.1	100	87	0	0	2	262	236	322	4402	5.3e-52	185.3	QXK76233.1 ORF1a polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	262
PBS11a_NODE_531_length_226_cov_2.216374	QRW67958.1	98.6	71	1	0	13	225	1	71	75	1.6e-36	127.5	QRW67958.1 envelope protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	226
PBS11a_NODE_8_length_377_cov_1.372671	QSV27740.1	100	125	0	0	376	2	5393	5517	7096	2.6e-79	265.4	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	377
PBS1b_NODE_108_length_305_cov_67.968000	QSJ03267.1	100	61	0	0	117	299	1	61	63	4.3e-32	117.1	QSJ03267.1 mutant ORF6 protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	305
PBS1c_NODE_11_length_1288_cov_132.524736	QJQ84851.1	100	419	0	0	25	1281	1	419	419	7.3e-282	776.5	QJQ84851.1 nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1288
