qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	Collapsed_lineage	superkingdom	phylum	class	order	family	genus	species	kingdom	realm	clade1	clade2
F1011_NODE_2_length_5406_cov_31.927864_1	API61884.1	54.8	1821	777	6	18	1797	12	1826	2547	0	1951	API61884.1 RNA-dependent RNA polymerase, partial [Salarivirus Mos8CM0]	1925501	Viruses||||||Salarivirus Mos8CM0||||||||||||||||||||||||||||||||unclassified viruses||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Salarivirus Mos8CM0	NA	NA	NA	NA
F1505_NODE_1782_length_1702_cov_3.236187_1	XP_001659999.1	100	303	0	0	11	313	1	303	303	4.8e-141	511.9	XP_001659999.1 syntaxin-7 [Aedes aegypti]	7159	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes aegypti||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes aegypti	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1505_NODE_4204_length_1053_cov_2.151303_1	KXJ72535.1	49.3	351	171	2	1	348	479	825	857	2.5e-90	343.6	KXJ72535.1 hypothetical protein RP20_CCG017781 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1469_NODE_5017_length_982_cov_2.075512_1	XP_029710255.1	76.3	338	65	6	3	327	1267	1602	2151	8.6e-125	458	XP_029710255.1 LOW QUALITY PROTEIN: probable helicase with zinc finger domain [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1369_NODE_291_length_3047_cov_1.840241_3	XP_049280669.1	93.9	742	31	4	22	761	1	730	730	0	1307.4	XP_049280669.1 pseudouridylate synthase RPUSD2-like isoform X3 [Anopheles funestus]	62324	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|Anopheles funestus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia|Myzomyia|Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||funestus group||||Pterygota||Anophelinae|Cellia||Nematocera|Hexapoda|||||Culicoidea||||	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles funestus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1369_NODE_359_length_2848_cov_3.214823_3	XP_035899959.1	70.9	604	141	10	85	679	24	601	1672	6e-83	320.1	XP_035899959.1 uncharacterized protein LOC118506651 isoform X2 [Anopheles stephensi]	30069	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Anopheles|Anopheles stephensi||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia|Neocellia|Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Anophelinae|Cellia||Nematocera|Hexapoda|||||Culicoidea||||	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles stephensi	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1423_NODE_3712_length_1054_cov_1.749750_3	XP_038110552.1	99.1	350	1	1	1	350	182	529	853	5e-155	558.5	XP_038110552.1 cytoplasmic polyadenylation element-binding protein 2 isoform X2 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1424_NODE_40_length_1858_cov_2432.250139_1	BBQ05104.1	99.5	564	3	0	19	582	1	564	564	0	1156.4	BBQ05104.1 RNA-dependent RNA polymerase [Hubei partiti-like virus 22]	1923029	Viruses||||||Hubei partiti-like virus 22||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Hubei partiti-like virus 22	NA	Riboviria	NA	NA
F1425_NODE_145_length_1791_cov_19.676843_1	UJQ92001.1	56.8	565	239	5	34	595	9	571	623	1.1e-175	627.9	UJQ92001.1 MAG: putative RNA-dependent RNA polymerase [Botourmiaviridae sp.]	2808997	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae||Botourmiaviridae sp.||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Botourmiaviridae||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	NA	Botourmiaviridae sp.	Orthornavirae	Riboviria	NA	NA
F1194_NODE_4173_length_1209_cov_3.519931_4	XP_029708382.1	87.4	390	39	5	1	382	523	910	1579	1.4e-177	633.6	XP_029708382.1 fl(2)d-associated complex component isoform X1 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1194_NODE_4936_length_1114_cov_1.293673_1	XP_029729827.1	53.2	370	137	3	5	369	482	820	1108	2.7e-103	386.7	XP_029729827.1 uncharacterized protein LOC115267128 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1194_NODE_4990_length_1106_cov_1.636537_1	KXJ62375.1	86.9	191	25	0	1	191	289	479	491	5e-89	339.3	KXJ62375.1 hypothetical protein RP20_CCG015520 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1194_NODE_5270_length_1075_cov_1.194118_1	XP_039453069.1	72.8	353	89	1	13	358	401	753	1443	2.5e-149	539.7	XP_039453069.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1194_NODE_5485_length_1050_cov_1.735678_1	XP_019535949.2	91.2	296	25	1	1	295	221	516	590	3.5e-132	482.6	XP_019535949.2 nucleobindin-2-like [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1224_NODE_3500_length_1161_cov_1.747740_1	HBS53814.1	59.4	362	137	3	2	359	362	717	1176	8e-122	448.4	HBS53814.1 hypothetical protein [Flavobacterium sp.]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1225_NODE_317_length_1268_cov_2.022259_1	XP_039451489.1	79.7	434	70	2	7	422	470	903	1442	8.6e-202	714.1	XP_039451489.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1156_NODE_2_length_7200_cov_572.252624_5	QLJ83492.1	76.3	750	178	0	87	836	1	750	759	0	1211.4	QLJ83492.1 RNA-dependent RNA polymerase, partial [Fitzroy Crossing toti-like virus 2]	2755154	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae||Fitzroy Crossing toti-like virus 2||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Totiviridae||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Fitzroy Crossing toti-like virus 2	Orthornavirae	Riboviria	NA	NA
F1156_NODE_25_length_2967_cov_121.096841_1	QGY72620.1	87.7	828	101	1	9	836	1	827	827	0	1461	QGY72620.1 RNA dependent RNA polymerase, partial [Plasmopara viticola lesion associated ourmia-like virus 90]	2686565	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Penoulivirus|Penoulivirus thetaplasmoparae||Riboviria||||||||||||||||||||||||||||Orthornavirae||Plasmopara viticola lesion associated ourmia-like virus 90||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Penoulivirus	Penoulivirus thetaplasmoparae	Orthornavirae	Riboviria	NA	NA
F1156_NODE_65_length_2243_cov_7.962523_2	QZE12031.1	58	695	280	5	18	709	20	705	712	6.2e-216	761.9	QZE12031.1 MAG: hypothetical protein [Sclerotinia sclerotiorum narnavirus 1]	2822897	Viruses|Lenarviricota|Amabiliviricetes|Wolframvirales|Narnaviridae|Narnavirus|Sclerotinia sclerotiorum narnavirus 1||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Narnavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sclerotinia sclerotiorum narnavirus 1	Orthornavirae	Riboviria	NA	NA
F1157_NODE_12_length_1742_cov_6.048014_1	QKI79987.1	92.7	535	34	2	18	552	1	530	530	4.3e-294	1021.1	QKI79987.1 RNA-dependent RNA polymerase [Erysiphe necator associated virus 5]	2741906	Viruses||||||Erysiphe necator associated virus 5||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Erysiphe necator associated virus 5	NA	Riboviria	NA	NA
F1161_NODE_1_length_11153_cov_400.498018_2	ATL63282.1	99.7	3349	9	0	6	3354	1	3349	3349	0	6734	ATL63282.1 polyprotein [La Tina virus]	2045187	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|La Tina virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Flavivirus||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	La Tina virus	Orthornavirae	Riboviria	NA	NA
F1161_NODE_408_length_2305_cov_2.570667_1	XP_029728385.1	99.1	764	7	0	1	764	21	784	784	0	1538.1	XP_029728385.1 peroxisomal acyl-coenzyme A oxidase 3-like isoform X1 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1001_NODE_1134_length_2063_cov_3.529382_1	AAM29462.1	61.4	389	148	1	1	387	238	626	825	6.7e-140	508.4	AAM29462.1 RE36839p [Drosophila melanogaster]	7227	Eukaryota|Arthropoda|Insecta|Diptera|Drosophilidae|Drosophila|Drosophila melanogaster||Opisthokonta|Eumetazoa|Cyclorrhapha||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia|Eremoneura|Endopterygota|||||Neoptera|Muscomorpha||Metazoa||cellular organisms|Schizophora|Acalyptratae|||||||||melanogaster group|melanogaster subgroup|||Pterygota||Drosophilinae|Sophophora||Brachycera|Hexapoda|||||Ephydroidea|||Drosophilini|	Eukaryota	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila melanogaster	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1001_NODE_2217_length_1552_cov_1570.360721_1	DAZ85671.1	100	471	0	0	17	487	1	471	471	6.7e-283	983.8	DAZ85671.1 TPA_asm: RNA-dependent RNA polymerase [Aedes partiti-like virus 1]	2892537	Viruses|Pisuviricota|Duplopiviricetes|Durnavirales|Partitiviridae||Aedes partiti-like virus 1||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Partitiviridae||||||||||||||||||||||||||||||	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Aedes partiti-like virus 1	Orthornavirae	Riboviria	NA	NA
F1001_NODE_2656_length_1431_cov_2.279797_1	XP_039453022.1	57.9	478	200	1	1	477	21	498	664	8.9e-163	584.7	XP_039453022.1 uncharacterized protein LOC120431951 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1598_NODE_2594_length_961_cov_4.365342_1	KXJ71646.1	81.8	340	28	3	6	319	718	1049	1793	6.6e-122	448.4	KXJ71646.1 hypothetical protein RP20_CCG020090 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1598_NODE_2715_length_942_cov_3.173619_3	XP_029725217.1	75.2	294	56	6	21	313	275	552	1592	6.4e-69	272.3	XP_029725217.1 LOW QUALITY PROTEIN: mitotic checkpoint serine/threonine-protein kinase BUB1-like [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1009_NODE_3586_length_1239_cov_4.523649_1	XP_029730264.1	95.2	397	16	2	1	397	357	750	755	1e-132	484.6	XP_029730264.1 telomerase-binding protein EST1A-like [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1009_NODE_3726_length_1220_cov_1.209442_1	XP_019556162.2	100	369	0	0	7	375	1	369	369	2.2e-217	765.8	XP_019556162.2 zinc finger protein 865-like [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1196_NODE_430_length_2330_cov_3.407473_1	KXJ83638.1	80.3	740	138	5	10	747	1	734	752	2.5e-268	936	KXJ83638.1 hypothetical protein RP20_CCG004218 [Aedes albopictus]	7160	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Aedes|Aedes albopictus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|||||||||||||||Pterygota||Culicinae|Stegomyia||Nematocera|Hexapoda|||||Culicoidea|||Aedini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Aedes	Aedes albopictus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1039_NODE_3935_length_1131_cov_4.650558_2	XP_039429910.1	95.2	377	17	1	1	377	77	452	453	1.9e-208	736.1	XP_039429910.1 nedd8-activating enzyme E1 catalytic subunit [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1039_NODE_4192_length_1093_cov_5.527938_2	XP_039435981.1	76.9	156	32	4	184	336	2725	2879	2879	4.6e-41	179.9	XP_039435981.1 uncharacterized protein LOC120417831 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1039_NODE_4280_length_1081_cov_7.100390_1	XP_039442875.1	80.3	305	36	5	61	359	576	862	2151	9.5e-101	378.3	XP_039442875.1 protein piccolo-like isoform X3 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1039_NODE_4494_length_1052_cov_2.959880_2	XP_038122699.1	85	366	38	7	1	350	402	766	1022	1.8e-104	390.6	XP_038122699.1 mediator of RNA polymerase II transcription subunit 25 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1039_NODE_4532_length_1047_cov_2.846774_2	XP_001862129.2	95.1	348	17	0	1	348	10	357	618	1.7e-200	709.5	XP_001862129.2 uncharacterized protein LOC6044647 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1575_NODE_592_length_2393_cov_5.649273_1	XP_038105540.1	100	771	0	0	23	793	318	1088	1451	0	1113.2	XP_038105540.1 homeobox protein prospero isoform X2 [Culex quinquefasciatus]	7176	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex quinquefasciatus||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda|||||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex quinquefasciatus	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1575_NODE_2506_length_1393_cov_1.378924_2	XP_039434373.1	99.8	455	1	0	2	456	468	922	1438	2.3e-261	912.1	XP_039434373.1 uncharacterized protein K02A2.6-like [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
F1341_NODE_923_length_2167_cov_1.808239_1	XP_039452589.1	72.1	638	177	1	30	667	642	1278	1686	1.2e-274	956.8	XP_039452589.1 uncharacterized protein LOC120431546 [Culex pipiens pallens]	42434	Eukaryota|Arthropoda|Insecta|Diptera|Culicidae|Culex|Culex pipiens||Opisthokonta|Eumetazoa|||||||||||Bilateria|Protostomia|Ecdysozoa|Panarthropoda|Mandibulata|Pancrustacea|Dicondylia||Endopterygota|||||Neoptera|Culicomorpha||Metazoa||cellular organisms|Culex pipiens complex||||||||||||||Pterygota||Culicinae|Culex||Nematocera|Hexapoda||Culex pipiens pallens|||Culicoidea|||Culicini|	Eukaryota	Arthropoda	Insecta	Diptera	Culicidae	Culex	Culex pipiens	Metazoa	Opisthokonta	Eumetazoa	Bilateria
