qseqid	tax_id	evalue	Collapsed_lineage	superkingdom	phylum	class	order	family	genus	species	kingdom	realm	clade1	clade2	orf_id	contig_id	possibly_cellular_contig	target	evalue_full_seq	score_full_seq	bias_full_seq	evalue_best_dom	score_best_dom	bias_best_dom	dom_num_estim_exp	dom_num_estim_reg	dom_num_estim_clu	dom_num_estim_ov	dom_num_estim_env	dom_num_estim_dom	dom_num_estim_rep	dom_num_estim_inc	contig_set	orf_start	orf_end	orf_sense	orf_len	sseqid_be	pident_be	length_be	mismatch_be	gapopen_be	qstart_be	qend_be	sstart_be	send_be	slen_be	evalue_be	bitscore_be	stitle_be	tax_id_be	Collapsed_lineage_be	superkingdom_be	phylum_be	class_be	order_be	family_be	genus_be	species_be	kingdom_be	realm_be	clade1_be	clade2_be	rdrp_scan_vir_group	RdRP_scan_match_with_DMND	orf_id_original	qstart_be_nt	qend_be_nt
F1339_NODE_31_length_6863_cov_3148.768801_2	1980610	0	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales|Phenuiviridae|Phasivirus|Phasi Charoen-like phasivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae|||||||||||||||||||||||Polyploviricotina|||||||||	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	Orthornavirae	Riboviria	NA	NA	F1339_NODE_31_length_6863_cov_3148.768801_2	F1339_NODE_31_length_6863_cov_3148.768801	0	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	3.5e-136	448.3	13.4	3.5e-136	448.3	13.4	22	1	1	1	2	2	2	1	G	6784	128	REVERSE	6656	ATQ62689.1	99.3	2217	15	0	3	2219	1	2217	2217	0	4363.5	ATQ62689.1 RNA-dependent RNA polymerase [Phasi Charoen-like phasivirus]	1980610	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales|Phenuiviridae|Phasivirus|Phasi Charoen-like phasivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae|||||||||||||||||||||||Polyploviricotina|||||||||	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	Orthornavirae	Riboviria	NA	NA	Ellioviricetes	BestHit	F1339_NODE_31_length_6863_cov_3148.768801_2	NA	NA
F1339_NODE_266_length_3313_cov_7.505832_2	2585031	2.8e-101	Viruses||||||Riboviria sp.||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Riboviria sp.	NA	Riboviria	NA	NA	F1339_NODE_266_length_3313_cov_7.505832_2	F1339_NODE_266_length_3313_cov_7.505832	0	ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	6.2e-100	328	0.1	8.2e-100	327.6	0.1	1	1	0	0	1	1	1	1	G	2317	764	REVERSE	1553	QDH86440.1	43.8	486	261	6	38	514	1	483	488	2.8e-101	380.6	QDH86440.1 MAG: RNA-dependent RNA polymerase [Riboviria sp.]	2585031	Viruses||||||Riboviria sp.||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Riboviria sp.	NA	Riboviria	NA	NA	Tolivirales	no match	F1339_NODE_266_length_3313_cov_7.505832_2	NA	NA
F1539_NODE_1_length_9238_cov_54.876511_1	675074	0	Viruses|Pisuviricota|Pisoniviricetes|Picornavirales|||||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Picornavirales||||||||||||||||||||||||||||||	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	NA	Orthornavirae	Riboviria	NA	NA	F1539_NODE_1_length_9238_cov_54.876511_1	F1539_NODE_1_length_9238_cov_54.876511	0	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	3.6e-131	431.2	1.8	3.9e-131	431.1	0	17	2	0	0	2	2	2	1	G	8612	207	REVERSE	8405	QNS17456.1	65.7	2815	912	18	5	2802	1	2778	2779	0	3673.2	QNS17456.1 RNA-dependent RNA polymerase [Serbia picorna-like virus 1]	2771461	Viruses|Pisuviricota|Pisoniviricetes|Picornavirales|||Serbia picorna-like virus 1||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Picornavirales||||||||||||||||||||||||||||||	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Serbia picorna-like virus 1	Orthornavirae	Riboviria	NA	NA	Picornavirales	BestHit	F1539_NODE_1_length_9238_cov_54.876511_1	NA	NA
F1539_NODE_12_length_6813_cov_660.129032_1	1980610	0	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales|Phenuiviridae|Phasivirus|Phasi Charoen-like phasivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae|||||||||||||||||||||||Polyploviricotina|||||||||	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	Orthornavirae	Riboviria	NA	NA	F1539_NODE_12_length_6813_cov_660.129032_1	F1539_NODE_12_length_6813_cov_660.129032	0	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	2.8e-128	422.2	2.4	2.8e-128	422.2	2.4	22	2	0	0	2	2	2	1	G	2	6685	FORWARD	6683	QOI91450.1	71	2215	638	4	16	2226	3	2216	2217	0	3243.4	QOI91450.1 RdRp [Phasi Charoen-like phasivirus]	1980610	Viruses|Negarnaviricota|Ellioviricetes|Bunyavirales|Phenuiviridae|Phasivirus|Phasi Charoen-like phasivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae|||||||||||||||||||||||Polyploviricotina|||||||||	Viruses	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	Orthornavirae	Riboviria	NA	NA	Ellioviricetes	BestHit	F1539_NODE_12_length_6813_cov_660.129032_1	NA	NA
F1194_NODE_164_length_3752_cov_1084.265350_1	699180	0	Viruses|Duplornaviricota|Resentoviricetes|Reovirales|Spinareoviridae|Dinovernavirus|||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Dinovernavirus	NA	Orthornavirae	Riboviria	NA	NA	F1194_NODE_164_length_3752_cov_1084.265350_1	F1194_NODE_164_length_3752_cov_1084.265350	0	ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	9.1e-122	400.1	6.6	9.1e-122	400.1	6.6	22	1	1	0	2	2	2	1	G	3684	43	REVERSE	3641	YP_009104379.1	65.2	1224	410	6	6	1214	11	1233	1233	0	1656	YP_009104379.1 RNA-dependent RNA polymerase [Fako virus]	1567404	Viruses|Duplornaviricota|Resentoviricetes|Reovirales|Spinareoviridae|Dinovernavirus|Fako virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Dinovernavirus||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Resentoviricetes	Reovirales	Spinareoviridae	Dinovernavirus	Fako virus	Orthornavirae	Riboviria	NA	NA	Reovirales	BestHit	F1194_NODE_164_length_3752_cov_1084.265350_1	NA	NA
F1032_NODE_1_length_13213_cov_14.139915_4	11157	0	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|||||Riboviria||||||||||||||||||||||||||||Orthornavirae|||||||||||||||||||||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	NA	NA	NA	Orthornavirae	Riboviria	NA	NA	F1032_NODE_1_length_13213_cov_14.139915_4	F1032_NODE_1_length_13213_cov_14.139915	0	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	1.1e-173	571.7	1.7	2e-173	570.9	1.7	13	1	0	0	1	1	1	1	G	6862	13110	FORWARD	6248	ASA47413.1	71.2	2073	593	4	5	2074	1	2072	2079	0	3115.9	ASA47413.1 RdRp [Culex mononega-like virus 2]	2010272	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Xinmoviridae|Doupovirus|Doupovirus australiaense||Riboviria||||||||||||||||||||||||||||Orthornavirae||Culex mononega-like virus 2|||||||||||||||||||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Xinmoviridae	Doupovirus	Doupovirus australiaense	Orthornavirae	Riboviria	NA	NA	Monjiviricetes	BestHit	F1032_NODE_1_length_13213_cov_14.139915_4	NA	NA
F1032_NODE_17_length_3181_cov_1736.585413_2	10239	5.6e-226	Viruses||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	0	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	4.8e-104	341.9	5.5	5.8e-104	341.6	5.5	1	1	0	0	1	1	1	1	N	1507	92	REVERSE	1415	QRW41864.1	83.8	437	71	0	35	471	4	440	441	5.6e-226	794.7	QRW41864.1 MAG: RNA-dependent RNA polymerase [Kellev virus]	2800921	Viruses||||||Kellev virus||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Kellev virus	NA	Riboviria	NA	NA	Sobelivirales	no match	F1032_NODE_17_length_3181_cov_1736.585413_2	NA	NA
F1497_NODE_7_length_5809_cov_200.726625_1	1755787	0	Viruses||||||Wallemia sebi mycovirus 1||||||||||||||||||||||||||||||||unclassified viruses||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Wallemia sebi mycovirus 1	NA	NA	NA	NA	F1497_NODE_7_length_5809_cov_200.726625_1	F1497_NODE_7_length_5809_cov_200.726625	0	Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	5.7e-74	242	1.2	9.1e-74	241.3	0.3	17	2	0	0	2	2	2	1	N	5807	132	REVERSE	5675	ALO50138.1	77.2	1894	426	4	1	1892	3	1892	1892	0	2969.9	ALO50138.1 cap-pol fusion protein, partial [Wallemia sebi mycovirus 1]	1755787	Viruses||||||Wallemia sebi mycovirus 1||||||||||||||||||||||||||||||||unclassified viruses||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Wallemia sebi mycovirus 1	NA	NA	NA	NA	Duplornaviricota	no match	F1497_NODE_7_length_5809_cov_200.726625_1	NA	NA
F1497_NODE_15_length_4526_cov_148.730485_2	11006	6.5e-204	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae||||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	NA	Orthornavirae	Riboviria	NA	NA	F1497_NODE_15_length_4526_cov_148.730485_2	F1497_NODE_15_length_4526_cov_148.730485	0	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	3.7e-127	418	0.7	4.8e-127	417.6	0.7	1	1	0	0	1	1	1	1	N	1881	4490	FORWARD	2609	YP_009507829.1	44.3	878	469	9	2	866	626	1496	1500	6.5e-204	722.2	YP_009507829.1 polyprotein [Scheffersomyces segobiensis virus L]	1300323	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae|Totivirus|Scheffersomyces segobiensis virus L||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Scheffersomyces segobiensis virus L	Orthornavirae	Riboviria	NA	NA	Ghabrivirales	BestHit	F1497_NODE_15_length_4526_cov_148.730485_2	NA	NA
F1497_NODE_21_length_4260_cov_380.850178_2	2814344	4.5e-163	Viruses|Kitrinoviricota|Tolucaviricetes|Tolivirales|Tombusviridae||Grapevine-associated tombus-like virus 4||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Tombusviridae||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	NA	Grapevine-associated tombus-like virus 4	Orthornavirae	Riboviria	NA	NA	F1497_NODE_21_length_4260_cov_380.850178_2	F1497_NODE_21_length_4260_cov_380.850178	0	ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	5.6e-108	354.6	0	7.1e-108	354.2	0	1	1	0	0	1	1	1	1	G	2554	932	REVERSE	1622	QXN75445.1	59.2	493	200	1	44	536	1	492	494	4.5e-163	585.9	QXN75445.1 MAG: RNA-dependent RNA polymerase [Grapevine-associated tombus-like virus 4]	2814344	Viruses|Kitrinoviricota|Tolucaviricetes|Tolivirales|Tombusviridae||Grapevine-associated tombus-like virus 4||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Tombusviridae||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	NA	Grapevine-associated tombus-like virus 4	Orthornavirae	Riboviria	NA	NA	Tolivirales	BestHit	F1497_NODE_21_length_4260_cov_380.850178_2	NA	NA
F1497_NODE_40_length_3440_cov_12.563959_1	249310	0	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Chrysoviridae||||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	NA	Orthornavirae	Riboviria	NA	NA	F1497_NODE_40_length_3440_cov_12.563959_1	F1497_NODE_40_length_3440_cov_12.563959	0	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	6.5e-101	331.2	11.3	1e-100	330.5	11.3	13	1	0	0	1	1	1	1	G	12	3341	FORWARD	3329	UOK20161.1	57.2	1078	458	3	32	1108	23	1098	1100	0	1315.8	UOK20161.1 RNA dependent RNA polymerase [Diplodia seriata chrysovirus 1]	2932873	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Chrysoviridae|Chrysovirus|Diplodia seriata chrysovirus 1||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Chrysovirus||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Diplodia seriata chrysovirus 1	Orthornavirae	Riboviria	NA	NA	Ghabrivirales	BestHit	F1497_NODE_40_length_3440_cov_12.563959_1	NA	NA
F1497_NODE_77_length_2882_cov_265.681995_2	2587543	2e-255	Viruses||||||Penicillium miczynskii RNA virus 1||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Penicillium miczynskii RNA virus 1	NA	Riboviria	NA	NA	F1497_NODE_77_length_2882_cov_265.681995_2	F1497_NODE_77_length_2882_cov_265.681995	0	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	6e-45	146.5	2.3	6.8e-45	146.3	2.3	11	1	0	0	1	1	1	1	N	2001	109	REVERSE	1892	QDB74980.1	72.7	571	155	1	56	626	1	570	574	2e-255	892.9	QDB74980.1 MAG: RNA-dependent RNA polymerase [Penicillium miczynskii RNA virus 1]	2587543	Viruses||||||Penicillium miczynskii RNA virus 1||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Penicillium miczynskii RNA virus 1	NA	Riboviria	NA	NA	Durnavirales	no match	F1497_NODE_77_length_2882_cov_265.681995_2	NA	NA
F1497_NODE_136_length_2378_cov_1144.077056_1	2695350	0	Viruses||||||Plasmopara viticola lesion associated polymycovirus 3||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3	NA	Riboviria	NA	NA	F1497_NODE_136_length_2378_cov_1144.077056_1	F1497_NODE_136_length_2378_cov_1144.077056	0	Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta	3.2e-17	54.3	0	4.1e-17	53.9	0	11	1	0	0	1	1	1	1	G	2376	70	REVERSE	2306	QHG11072.1	75.1	763	190	0	7	769	1	763	763	0	1135.2	QHG11072.1 RdRp [Plasmopara viticola lesion associated polymycovirus 3]	2695350	Viruses||||||Plasmopara viticola lesion associated polymycovirus 3||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3	NA	Riboviria	NA	NA	Pisuviricota	no match	F1497_NODE_136_length_2378_cov_1144.077056_1	NA	NA
F1414_NODE_269_length_1737_cov_116.394768_1	11012	0	Viruses|Pisuviricota|Duplopiviricetes|Durnavirales|Partitiviridae||||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	NA	Orthornavirae	Riboviria	NA	NA	F1414_NODE_269_length_1737_cov_116.394768_1	F1414_NODE_269_length_1737_cov_116.394768	0	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	1.2e-92	304	14.7	1.5e-92	303.7	14.7	1	1	0	0	1	1	1	1	G	1684	68	REVERSE	1616	YP_052856.2	93.7	539	34	0	1	539	1	539	539	0	1081.2	YP_052856.2 RNA-dependent RNA polymerase [Penicillium stoloniferum virus S]	216371	Viruses|Pisuviricota|Duplopiviricetes|Durnavirales|Partitiviridae|Gammapartitivirus|Penicillium stoloniferum virus S||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Penicillium stoloniferum virus S	Orthornavirae	Riboviria	NA	NA	Durnavirales	BestHit	F1414_NODE_269_length_1737_cov_116.394768_1	NA	NA
F1416_NODE_2_length_4213_cov_738.883838_1	11050	0	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae||||Riboviria||||||||||||||||||||||||||||Orthornavirae||||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	NA	NA	Orthornavirae	Riboviria	NA	NA	F1416_NODE_2_length_4213_cov_738.883838_1	F1416_NODEs_39_8_2_finalCxFVlike	0	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	7.1e-101	331.1	7.4	1e-100	330.6	7.4	11	1	0	0	1	1	1	1	G	3	3848	FORWARD	3845	ARQ79718.1	71.8	1286	340	5	1	1281	2009	3276	3277	0	1905.6	ARQ79718.1 polyprotein, partial [Culex flavivirus]	390844	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Culex flavivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Flavivirus||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Culex flavivirus	Orthornavirae	Riboviria	NA	NA	Amarillovirales	BestHit	F1416_NODE_2_length_4213_cov_738.883838_1	NA	NA
F1015_NODE_16_length_5365_cov_6.108851_2	137555	0	Viruses|Kitrinoviricota|Tolucaviricetes|Tolivirales|Tombusviridae||||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Tombusviridae||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	NA	NA	Orthornavirae	Riboviria	NA	NA	F1015_NODE_16_length_5365_cov_6.108851_2	F1015_NODE_16_length_5365_cov_6.108851	0	ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	5.6e-148	486.9	4	6.8e-148	486.6	4	1	1	0	0	1	1	1	1	N	1069	2880	FORWARD	1811	QKF95588.1	100	566	0	0	39	604	1	566	566	0	1191.4	QKF95588.1 hypothetical protein 2 [Zizania latifolia tombusvirus]	2739385	Viruses|Kitrinoviricota|Tolucaviricetes|Tolivirales|Tombusviridae||Zizania latifolia tombusvirus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Tombusviridae||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Tombusviridae	NA	Zizania latifolia tombusvirus	Orthornavirae	Riboviria	NA	NA	Tolivirales	BestHit	F1015_NODE_16_length_5365_cov_6.108851_2	NA	NA
F1015_NODE_579_length_2145_cov_6.731100_1	1629669	0	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Ourmiavirus|||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Ourmiavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	NA	Orthornavirae	Riboviria	NA	NA	F1015_NODE_579_length_2145_cov_6.731100_1	F1015_NODE_579_length_2145_cov_6.731100	0	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	9.4e-115	377.2	21.9	1.2e-114	376.8	21.9	1	1	0	0	1	1	1	1	G	1	1896	FORWARD	1895	QIP68025.1	91.7	618	51	0	15	632	1	618	618	0	1165.6	QIP68025.1 RNA-dependent RNA polymerase [Bremia lactucae associated ourmia-like virus 1]	2719805	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Ourmiavirus|Bremia lactucae associated ourmia-like virus 1||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Ourmiavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Bremia lactucae associated ourmia-like virus 1	Orthornavirae	Riboviria	NA	NA	Ourlivirales	BestHit	F1015_NODE_579_length_2145_cov_6.731100_1	NA	NA
F1107_NODE_4_length_4693_cov_19.984260_1	2746298	0	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae||Lepidopteran rhabdo-related virus OKIAV3||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Rhabdoviridae|||||||||||||||||||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Lepidopteran rhabdo-related virus OKIAV3	Orthornavirae	Riboviria	NA	NA	F1107_NODE_4_length_4693_cov_19.984260_1	F1107_NODE_4_length_4693_cov_19.984260	0	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	2.5e-51	167.1	0.1	5.1e-51	166.1	0.1	15	1	0	0	1	1	1	1	N	391	4554	FORWARD	4163	QMP82217.1	73	1388	374	1	1	1388	738	2124	2124	0	2114.3	QMP82217.1 RNA-dependent RNA polymerase [Lepidopteran rhabdo-related virus OKIAV3]	2746298	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae||Lepidopteran rhabdo-related virus OKIAV3||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Rhabdoviridae|||||||||||||||||||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	NA	Lepidopteran rhabdo-related virus OKIAV3	Orthornavirae	Riboviria	NA	NA	Monjiviricetes	BestHit	F1107_NODE_4_length_4693_cov_19.984260_1	NA	NA
F1102_NODE_96_length_4042_cov_224.580637_1	2559587	0	Viruses||||||||Riboviria||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	Riboviria	NA	NA	F1102_NODE_96_length_4042_cov_224.580637_1	F1102_NODE_96_length_4042_cov_224.580637	0	ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	1.8e-85	280.1	2	2.5e-85	279.6	2	11	1	0	0	1	1	1	1	G	4042	47	REVERSE	3995	QRW41688.1	59.8	1285	503	6	51	1332	3	1276	1276	0	1505.7	QRW41688.1 MAG: RNA-dependent RNA polymerase [Lasigmu virus]	2800924	Viruses||||||Lasigmu virus||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Lasigmu virus	NA	Riboviria	NA	NA	Reovirales	no match	F1102_NODE_96_length_4042_cov_224.580637_1	NA	NA
F1560_NODE_544_length_2623_cov_546.129283_1	2559587	2e-88	Viruses||||||||Riboviria||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	Riboviria	NA	NA	F1560_NODE_544_length_2623_cov_546.129283_1	F1560_NODE_544_length_2623_cov_546.129283	0	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3.2e-71	233.2	1.3	4.1e-71	232.8	1.3	11	1	0	0	1	1	1	1	G	11	2557	FORWARD	2546	APG77159.1	32.9	771	424	22	67	830	40	724	750	2e-88	338.6	APG77159.1 RNA-dependent RNA polymerase, partial [Hubei narna-like virus 20]	1922951	Viruses||||||Hubei narna-like virus 20||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Hubei narna-like virus 20	NA	Riboviria	NA	NA	Wolframvirales	no match	F1560_NODE_544_length_2623_cov_546.129283_1	NA	NA
F1070_NODE_95_length_2371_cov_2.746114_1	1629669	2.8e-196	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Ourmiavirus|||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Ourmiavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	NA	Orthornavirae	Riboviria	NA	NA	F1070_NODE_95_length_2371_cov_2.746114_1	F1070_NODE_95_length_2371_cov_2.746114	0	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	7.9e-93	304.6	0.5	9.9e-93	304.3	0.5	11	1	0	0	1	1	1	1	G	436	2370	FORWARD	1934	QKI79944.1	67	522	169	2	96	617	88	606	745	2.8e-196	696.4	QKI79944.1 RNA-dependent RNA polymerase [Erysiphe necator associated ourmia-like virus 115]	2741775	Viruses|Lenarviricota|Miaviricetes|Ourlivirales|Botourmiaviridae|Ourmiavirus|Erysiphe necator associated ourmia-like virus 115||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Ourmiavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 115	Orthornavirae	Riboviria	NA	NA	Ourlivirales	BestHit	F1070_NODE_95_length_2371_cov_2.746114_1	NA	NA
F1113_NODE_1_length_10941_cov_118.625023_5	1923335	0	Viruses||||||Hubei virga-like virus 2||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	F1113_NODE_1_length_10941_cov_118.625023_5	F1113_NODE_1_length_10941_cov_118.625023	0	ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta	3e-158	521.1	0.1	4.7e-158	520.5	0.1	12	1	0	0	1	1	1	1	G	10829	828	REVERSE	10001	QRW42815.1	99.2	3316	27	0	19	3334	1	3316	3316	0	6171.3	QRW42815.1 MAG: polyprotein [Hubei virga-like virus 2]	1923335	Viruses||||||Hubei virga-like virus 2||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria|unclassified RNA viruses ShiM-2016|||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	Martellivirales	no match	F1113_NODE_1_length_10941_cov_118.625023_5	NA	NA
