Sample	'Batch	'LibPool	'site	'season	'village	'commune	'district	'city	'elevation_m	'trapping.method	'trip	'month	'genus	'subgenus	'species	'genus_species	'sex	'blood_meal	'number	'old_eppendorf	'old_box	'new_eppendorf	'new_box	'Location	'datetime_setup	'datetime_collect	'lat	'long	'id	'latlong_provided	'seq_priority	'tr	'trait
F1410	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'bitaeniorhynchus	'Culex bitaeniorhynchus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-16 16:45:00	'2019-10-17 16:39:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1410	masked, available in supplementary info or upon request	'high	'NA	'NA
F1412	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'bitaeniorhynchus	'Culex bitaeniorhynchus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-16 14:27:00	'2019-10-17 14:32:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1412	masked, available in supplementary info or upon request	'high	'NA	'NA
F1525	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armigeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:00:00	'2019-10-22 15:57:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1525	masked, available in supplementary info or upon request	'high	'NA	'NA
F1552	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Coquillettidia	'Coquillettidia	'crassipes	'Coquillettidia crassipes	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:30:00	'2019-10-22 16:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1552	masked, available in supplementary info or upon request	'high	'NA	'NA
F1586	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'sinensis	'Culex sinensis	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:30:00	'2019-10-22 16:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1586	masked, available in supplementary info or upon request	'high	'NA	'NA
F1608	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:45:00	'2019-10-22 15:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1608	masked, available in supplementary info or upon request	'high	'NA	'NA
F1218	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armigeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-09 08:45:00	'2019-10-10 08:47:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1218	masked, available in supplementary info or upon request	'high	'NA	'NA
F1224	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armigeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-09 12:10:00	'2019-10-10 12:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1224	masked, available in supplementary info or upon request	'high	'NA	'NA
F1265	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'gelidus	'Culex gelidus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-07 14:23:00	'2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1265	masked, available in supplementary info or upon request	'high	'NA	'NA
F1309	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'sinensis	'Culex sinensis	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-07 14:23:00	'2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1309	masked, available in supplementary info or upon request	'high	'NA	'NA
F1322	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-10 08:45:00	'2019-10-11 08:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1322	masked, available in supplementary info or upon request	'high	'NA	'NA
F1142	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 08:55:00	'2019-10-09 08:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1142	masked, available in supplementary info or upon request	'high	'NA	'NA
F1146	'4.2	'4	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 08:15:00	'2019-10-09 08:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1146	masked, available in supplementary info or upon request	'high	'NA	'NA
F1016	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Battambang & Pailin	'2019-10-15 09:52:00	'2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1016	masked, available in supplementary info or upon request	'high	'NA	'NA
F1027	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'gelidus	'Culex gelidus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Battambang & Pailin	'2019-10-15 16:05:00	'2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1027	masked, available in supplementary info or upon request	'high	'NA	'NA
F1050	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Battambang & Pailin	'2019-10-14 16:08:00	'2019-10-15 16:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1050	masked, available in supplementary info or upon request	'high	'NA	'NA
F1427	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-15 15:06:00	'2019-10-16 15:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1427	masked, available in supplementary info or upon request	'high	'NA	'NA
F1446	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'sinensis	'Culex sinensis	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-15 16:10:00	'2019-10-16 16:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1446	masked, available in supplementary info or upon request	'high	'NA	'NA
F1559	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'gelidus	'Culex gelidus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:00:00	'2019-10-22 15:57:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1559	masked, available in supplementary info or upon request	'high	'NA	'NA
F1562	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'gelidus	'Culex gelidus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-23 16:02:00	'2019-10-24 15:59:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1562	masked, available in supplementary info or upon request	'high	'NA	'NA
F1212	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armigeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-08 10:25:00	'2019-10-09 10:15:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1212	masked, available in supplementary info or upon request	'high	'NA	'NA
F1225	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Coquillettidia	'Coquillettidia	'crassipes	'Coquillettidia crassipes	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-07 14:23:00	'2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1225	masked, available in supplementary info or upon request	'high	'NA	'NA
F1085	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-09 08:00:00	'2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1085	masked, available in supplementary info or upon request	'high	'NA	'NA
F1086	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-09 08:00:00	'2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1086	masked, available in supplementary info or upon request	'high	'NA	'NA
F1087	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armisgeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 07:47:00	'2019-10-09 07:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1087	masked, available in supplementary info or upon request	'high	'NA	'NA
F1090	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armisgeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 07:47:00	'2019-10-09 07:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1090	masked, available in supplementary info or upon request	'high	'NA	'NA
F1097	'5.1	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armigeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-10 07:00:00	'2019-10-11 07:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1097	masked, available in supplementary info or upon request	'high	'NA	'NA
F1141	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Sihanuokville	'2019-10-08 08:55:00	'2019-10-09 08:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1143	masked, available in supplementary info or upon request	'high	'NA	'NA
F1345	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 15:38:00	'2019-10-15 15:35:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1345	masked, available in supplementary info or upon request	'high	'NA	'NA
F1404	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Oculeomyia	'bitaeniorhynchus	'Culex bitaeniorhynchus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-15 15:38:00	'2019-10-16 15:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1404	masked, available in supplementary info or upon request	'high	'NA	'NA
F1425	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 15:06:00	'2019-10-15 15:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1425	masked, available in supplementary info or upon request	'high	'NA	'NA
F1454	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 14:27:00	'2019-10-15 14:30:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1454	masked, available in supplementary info or upon request	'high	'NA	'NA
F1457	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 15:38:00	'2019-10-15 15:35:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1458	masked, available in supplementary info or upon request	'high	'NA	'NA
F1512	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 14:59:00	'2019-10-22 14:58:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1512	masked, available in supplementary info or upon request	'high	'NA	'NA
F1546	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Coquillettidia	'Coquillettidia	'crassipes	'Coquillettidia crassipes	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:25:00	'2019-10-22 15:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1546	masked, available in supplementary info or upon request	'high	'NA	'NA
F1610	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'vishnui.g	'Culex vishnui.g	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 15:45:00	'2019-10-22 15:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1610	masked, available in supplementary info or upon request	'high	'NA	'NA
F1621	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Mansonia	'Mansonioides	'indiana	'Mansonia indiana	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-21 16:00:00	'2019-10-22 15:57:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1621	masked, available in supplementary info or upon request	'high	'NA	'NA
F1219	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Armigeres	'Armigeres	'subalbatus	'Armigeres subalbatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-09 12:10:00	'2019-10-10 12:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1219	masked, available in supplementary info or upon request	'high	'NA	'NA
F1263	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'gelidus	'Culex gelidus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-07 14:23:00	'2019-10-08 14:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1263	masked, available in supplementary info or upon request	'high	'NA	'NA
F1286	'5.2	'5	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Pursat	'2019-10-07 14:45:00	'2019-10-08 14:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1286	masked, available in supplementary info or upon request	'high	'NA	'NA
